도번,LG부품,LG품명,역할,비고
AJR30125603,MJU00752802,"Tube,Connector",제작동관,
AJR30125603,MJU00752901,"Tube,Connector",제작동관,
AJR30125603,MJU00776505,"Tube,Connector",제작동관,
AJR30125603,MJU00776701,"Tube,Connector",제작동관,
AJR30125603,MJU00776713,"Tube,Connector",제작동관,
AJR30125603,MJU00776714,"Tube,Connector",제작동관,
AJR30125603,MJU66478704,"Tube,Connector",제작동관,
AJR30125603,MJU66478902,"Tube,Connector",제작동관,
AJR30125603,MJU66479002,"Tube,Connector",제작동관,
AJR30125603,MJU66904602,"Tube,Connector",제작동관,
AJR30125603,MJU66904603,"Tube,Connector",제작동관,
AJR30133602,MJU00777113,"Tube,Connector",제작동관,
AJR30133602,MJU00777609,"Tube,Connector",제작동관,
AJR30133602,MJU00777610,"Tube,Connector",제작동관,
AJR30133602,MJU66853321,"Tube,Connector",제작동관,
AJR30133604,MJU00776712,"Tube,Connector",제작동관,
AJR30133604,MJU00777604,"Tube,Connector",제작동관,
AJR30133604,MJU00777605,"Tube,Connector",제작동관,
AJR30133604,MJU66853322,"Tube,Connector",제작동관,
AJR30133604,MJU66853324,"Tube,Connector",제작동관,
AJR30133605,MJU00777001,"Tube,Connector",제작동관,
AJR30133605,MJU00777012,"Tube,Connector",제작동관,
AJR30133605,MJU00777102,"Tube,Connector",제작동관,
AJR30133605,MJU65528010,"Tube,Connector",제작동관,
AJR30133605,MJU66749301,"Tube,Connector",제작동관,
AJR30133605,MJU66853321,"Tube,Connector",제작동관,
AJR30133606,MJU00777113,"Tube,Connector",제작동관,
AJR30133606,MJU00777609,"Tube,Connector",제작동관,
AJR30133606,MJU00777610,"Tube,Connector",제작동관,
AJR30133606,MJU66853321,"Tube,Connector",제작동관,
AJR30133607,MJU66853322,"Tube,Connector",제작동관,
AJR30133701,MJU00776604,"Tube,Connector",제작동관,
AJR30133701,MJU00776606,"Tube,Connector",제작동관,
AJR30133701,MJU00776607,"Tube,Connector",제작동관,
AJR30133701,MJU00776608,"Tube,Connector",제작동관,
AJR30133701,MJU00776609,"Tube,Connector",제작동관,
AJR30133701,MJU00776610,"Tube,Connector",제작동관,
AJR30133701,MJU00776611,"Tube,Connector",제작동관,
AJR30133701,MJU00776612,"Tube,Connector",제작동관,
AJR30133701,MJU00776614,"Tube,Connector",제작동관,
AJR30133701,MJU00777301,"Tube,Connector",제작동관,
AJR30133701,MJU00777302,"Tube,Connector",제작동관,
AJR30133701,MJU65528010,"Tube,Connector",제작동관,
AJR30133701,MJU65528065,"Tube,Connector",제작동관,
AJR30133701,MJU66503306,"Tube,Connector",제작동관,
AJR30133701,MJU66853301,"Tube,Connector",제작동관,
AJR30133701,MJU66853304,"Tube,Connector",제작동관,
AJR30133702,MJU00776604,"Tube,Connector",제작동관,
AJR30133702,MJU00776606,"Tube,Connector",제작동관,
AJR30133702,MJU00776607,"Tube,Connector",제작동관,
AJR30133702,MJU00776608,"Tube,Connector",제작동관,
AJR30133702,MJU00776609,"Tube,Connector",제작동관,
AJR30133702,MJU00776610,"Tube,Connector",제작동관,
AJR30133702,MJU00776611,"Tube,Connector",제작동관,
AJR30133702,MJU00776612,"Tube,Connector",제작동관,
AJR30133702,MJU00776614,"Tube,Connector",제작동관,
AJR30133702,MJU00777105,"Tube,Connector",제작동관,
AJR30133702,MJU00777303,"Tube,Connector",제작동관,
AJR30133702,MJU00777304,"Tube,Connector",제작동관,
AJR30133702,MJU65528009,"Tube,Connector",제작동관,
AJR30133702,MJU65528066,"Tube,Connector",제작동관,
AJR30133702,MJU66503306,"Tube,Connector",제작동관,
AJR30133702,MJU66853304,"Tube,Connector",제작동관,
AJR30133703,MJU00777105,"Tube,Connector",제작동관,
AJR30133703,MJU00777305,"Tube,Connector",제작동관,
AJR30133703,MJU00777306,"Tube,Connector",제작동관,
AJR30133703,MJU00855303,"Tube,Connector",제작동관,
AJR30133703,MJU00855304,"Tube,Connector",제작동관,
AJR30133703,MJU00855305,"Tube,Connector",제작동관,
AJR30133703,MJU00855308,"Tube,Connector",제작동관,
AJR30133703,MJU00855309,"Tube,Connector",제작동관,
AJR30133703,MJU00855310,"Tube,Connector",제작동관,
AJR30133703,MJU65528009,"Tube,Connector",제작동관,
AJR30133703,MJU65528066,"Tube,Connector",제작동관,
AJR30133703,MJU66503307,"Tube,Connector",제작동관,
AJR30133703,MJU66853304,"Tube,Connector",제작동관,
AJR30133709,MJU00777313,"Tube,Connector",제작동관,
AJR30133709,MJU00777315,"Tube,Connector",제작동관,
AJR30133709,MJU00855303,"Tube,Connector",제작동관,
AJR30133709,MJU00855304,"Tube,Connector",제작동관,
AJR30133709,MJU00873804,"Tube,Connector",제작동관,
AJR30133709,MJU65528010,"Tube,Connector",제작동관,
AJR30133709,MJU66503308,"Tube,Connector",제작동관,
AJR30133709,MJU66853301,"Tube,Connector",제작동관,
AJR30133709,MJU66853304,"Tube,Connector",제작동관,
AJR30161402,MJU00855804,"Tube,Connector",제작동관,
AJR30161404,MJU65528066,"Tube,Connector",제작동관,
AJR30161405,MJU00855818,"Tube,Connector",제작동관,
AJR30161405,MJU00873804,"Tube,Connector",제작동관,
AJR30161406,MJU65528065,"Tube,Connector",제작동관,
AJR30161408,MJU65528065,"Tube,Connector",제작동관,
AJR30167201,MJU00780003,"Tube,Connector",제작동관,
AJR30359801,4930A20053A,"Holder,Sensor",반제품,
AJR32563602,4930A20053A,"Holder,Sensor",반제품,
AJR32846402,4H00049A,"Tube,Pinch Off",제작동관,
AJR34511808,4930A20053A,"Holder,Sensor",반제품,
AJR34565827,MJU64093707,"Tube,Condenser",제작동관,
AJR34565827,MJU64093708,"Tube,Condenser",제작동관,
AJR34565827,MJU64093709,"Tube,Condenser",제작동관,
AJR34565827,MJU64093710,"Tube,Condenser",제작동관,
AJR34739801,5210A20322H,"Tube,Pinch Off",제작동관,
AJR34739820,4H00049A,"Tube,Pinch Off",제작동관,
AJR34739821,4H00049A,"Tube,Pinch Off",제작동관,
AJR35724301,4H00049A,"Tube,Pinch Off",제작동관,
AJR35938601,MJU41496102,"Tube,Discharge",제작동관,
