도번,LG부품,LG품명,역할,도번의 자도번후보,자도번수,추천(단일시 자동),← 확정 자도번
AJR30075401,MJU66779319,"Tube,Connector",제작동관,AJR30075401-3-7 | AJR30075401-4-4 | AJR30075401-4-5 | AJR30075401-4-6,4,,
AJR30075401,MJU66894824,"Tube,Connector",제작동관,AJR30075401-3-7 | AJR30075401-4-4 | AJR30075401-4-5 | AJR30075401-4-6,4,,
AJR30075401,MJU66894825,"Tube,Connector",제작동관,AJR30075401-3-7 | AJR30075401-4-4 | AJR30075401-4-5 | AJR30075401-4-6,4,,
AJR30075401,MJU66928302,"Tube,Connector",제작동관,AJR30075401-3-7 | AJR30075401-4-4 | AJR30075401-4-5 | AJR30075401-4-6,4,,
AJR30075401,MJU66928303,"Tube,Connector",제작동관,AJR30075401-3-7 | AJR30075401-4-4 | AJR30075401-4-5 | AJR30075401-4-6,4,,
AJR30075401,MJU66928304,"Tube,Connector",제작동관,AJR30075401-3-7 | AJR30075401-4-4 | AJR30075401-4-5 | AJR30075401-4-6,4,,
AJR30075401,MJU66928305,"Tube,Connector",제작동관,AJR30075401-3-7 | AJR30075401-4-4 | AJR30075401-4-5 | AJR30075401-4-6,4,,
AJR30075401,MJU66928307,"Tube,Connector",제작동관,AJR30075401-3-7 | AJR30075401-4-4 | AJR30075401-4-5 | AJR30075401-4-6,4,,
AJR30075401,MJU66928308,"Tube,Connector",제작동관,AJR30075401-3-7 | AJR30075401-4-4 | AJR30075401-4-5 | AJR30075401-4-6,4,,
AJR30075401,MJU66928310,"Tube,Connector",제작동관,AJR30075401-3-7 | AJR30075401-4-4 | AJR30075401-4-5 | AJR30075401-4-6,4,,
AJR30075401,MJU66928311,"Tube,Connector",제작동관,AJR30075401-3-7 | AJR30075401-4-4 | AJR30075401-4-5 | AJR30075401-4-6,4,,
AJR30078601,4H00049A,"Tube,Pinch Off",제작동관,AJR30078601-12-1 | AJR30078601-12-2 | AJR30078601-12-3,3,,
AJR30083102,5211A22074A,"Tube Assembly,Connector",반제품,5211A22074A-1,1,5211A22074A-1,
AJR30083102,MJU00892201,"Tube,Connector",제작동관,5211A22074A-1,1,5211A22074A-1,
AJR30083102,MJU00893412,"Tube,Connector",제작동관,5211A22074A-1,1,5211A22074A-1,
AJR30083102,MJU66466401,"Tube,Connector",제작동관,5211A22074A-1,1,5211A22074A-1,
AJR30106101,4A00114D,"Tube,Connector",제작동관,AJR30106101-16-2 | AJR30106101-SOCKET,2,,
AJR30106101,MJU66932515,"Tube,Connector",제작동관,AJR30106101-16-2 | AJR30106101-SOCKET,2,,
AJR30106101,MJU66932528,"Tube,Connector",제작동관,AJR30106101-16-2 | AJR30106101-SOCKET,2,,
AJR30106101,MJU66932531,"Tube,Connector",제작동관,AJR30106101-16-2 | AJR30106101-SOCKET,2,,
AJR30125601,MJU00752801,"Tube,Connector",제작동관,AJR30125601-3-1 | AJR30125601-3-2 | AJR30125501 | AJR30125502 | MAZ64571801 | MAZ64571803,6,,
AJR30125601,MJU00752802,"Tube,Connector",제작동관,AJR30125601-3-1 | AJR30125601-3-2 | AJR30125501 | AJR30125502 | MAZ64571801 | MAZ64571803,6,,
AJR30125601,MJU00752901,"Tube,Connector",제작동관,AJR30125601-3-1 | AJR30125601-3-2 | AJR30125501 | AJR30125502 | MAZ64571801 | MAZ64571803,6,,
AJR30125601,MJU00776505,"Tube,Connector",제작동관,AJR30125601-3-1 | AJR30125601-3-2 | AJR30125501 | AJR30125502 | MAZ64571801 | MAZ64571803,6,,
AJR30125601,MJU00776701,"Tube,Connector",제작동관,AJR30125601-3-1 | AJR30125601-3-2 | AJR30125501 | AJR30125502 | MAZ64571801 | MAZ64571803,6,,
AJR30125601,MJU00776705,"Tube,Connector",제작동관,AJR30125601-3-1 | AJR30125601-3-2 | AJR30125501 | AJR30125502 | MAZ64571801 | MAZ64571803,6,,
AJR30125601,MJU00776713,"Tube,Connector",제작동관,AJR30125601-3-1 | AJR30125601-3-2 | AJR30125501 | AJR30125502 | MAZ64571801 | MAZ64571803,6,,
AJR30125601,MJU00776714,"Tube,Connector",제작동관,AJR30125601-3-1 | AJR30125601-3-2 | AJR30125501 | AJR30125502 | MAZ64571801 | MAZ64571803,6,,
AJR30125601,MJU66478405,"Tube,Connector",제작동관,AJR30125601-3-1 | AJR30125601-3-2 | AJR30125501 | AJR30125502 | MAZ64571801 | MAZ64571803,6,,
AJR30125601,MJU66478704,"Tube,Connector",제작동관,AJR30125601-3-1 | AJR30125601-3-2 | AJR30125501 | AJR30125502 | MAZ64571801 | MAZ64571803,6,,
AJR30125601,MJU66478902,"Tube,Connector",제작동관,AJR30125601-3-1 | AJR30125601-3-2 | AJR30125501 | AJR30125502 | MAZ64571801 | MAZ64571803,6,,
AJR30125601,MJU66479001,"Tube,Connector",제작동관,AJR30125601-3-1 | AJR30125601-3-2 | AJR30125501 | AJR30125502 | MAZ64571801 | MAZ64571803,6,,
AJR30125601,MJU66479002,"Tube,Connector",제작동관,AJR30125601-3-1 | AJR30125601-3-2 | AJR30125501 | AJR30125502 | MAZ64571801 | MAZ64571803,6,,
AJR30125601,MJU66904602,"Tube,Connector",제작동관,AJR30125601-3-1 | AJR30125601-3-2 | AJR30125501 | AJR30125502 | MAZ64571801 | MAZ64571803,6,,
AJR30125601,MJU66904603,"Tube,Connector",제작동관,AJR30125601-3-1 | AJR30125601-3-2 | AJR30125501 | AJR30125502 | MAZ64571801 | MAZ64571803,6,,
AJR30125601,MJU66904605,"Tube,Connector",제작동관,AJR30125601-3-1 | AJR30125601-3-2 | AJR30125501 | AJR30125502 | MAZ64571801 | MAZ64571803,6,,
AJR30125602,MJU00752901,"Tube,Connector",제작동관,AJR30125601-A-S-1 | AJR30125601-A-S-2 | AJR30125602-A-S-1 | AJR30125601-A-S-4 | AJR30125501 | AJR30125503…,8,,
AJR30125603,MJU00752801,"Tube,Connector",제작동관,AJR30125601-20-1 | AJR30125601-3-2 | AJR30125603-A-S-1 | AJR30133504 | AJR30125504 | AJR30125505…,8,,
AJR30125603,MJU00752802,"Tube,Connector",제작동관,AJR30125601-20-1 | AJR30125601-3-2 | AJR30125603-A-S-1 | AJR30133504 | AJR30125504 | AJR30125505…,8,,
AJR30125603,MJU00752901,"Tube,Connector",제작동관,AJR30125601-20-1 | AJR30125601-3-2 | AJR30125603-A-S-1 | AJR30133504 | AJR30125504 | AJR30125505…,8,,
AJR30125603,MJU00776505,"Tube,Connector",제작동관,AJR30125601-20-1 | AJR30125601-3-2 | AJR30125603-A-S-1 | AJR30133504 | AJR30125504 | AJR30125505…,8,,
AJR30125603,MJU00776701,"Tube,Connector",제작동관,AJR30125601-20-1 | AJR30125601-3-2 | AJR30125603-A-S-1 | AJR30133504 | AJR30125504 | AJR30125505…,8,,
AJR30125603,MJU00776713,"Tube,Connector",제작동관,AJR30125601-20-1 | AJR30125601-3-2 | AJR30125603-A-S-1 | AJR30133504 | AJR30125504 | AJR30125505…,8,,
AJR30125603,MJU00776714,"Tube,Connector",제작동관,AJR30125601-20-1 | AJR30125601-3-2 | AJR30125603-A-S-1 | AJR30133504 | AJR30125504 | AJR30125505…,8,,
