품번,협력사,담당외경,담당T,담당길이,담당개당중량,내외경,내T,내길이,내개당중량,원인,비고
MJU64671118,케이비,9.52,0.55,367.0,0.05085,9.52,0.55,305.0,0.04226,길이 담당367.0/내305.0,
MJU64867636,케이비,7.94,0.55,973.0,0.11107,7.94,0.55,998.0,0.11393,길이 담당973.0/내998.0,★월/Assy별 치수 여러개
12.7 SAMPLE,케이비,12.7,0.75,269.0,0.06771,,,,,미등록(비품번:설명/샘플/스펙),
12.7*0.6*L154 고강도 1212*60=72720 개발 박준수 과장 요청,미래,12.7,0.55,154.0,0.0289,,,,,미등록(비품번:설명/샘플/스펙),
12.7*0.75*167,미래,12.7,0.75,167.0,0.04204,,,,,미등록(비품번:설명/샘플/스펙),
12.7*0.75*186,미래,12.7,0.75,186.0,0.04682,,,,,미등록(비품번:설명/샘플/스펙),
12.7*0.75*201,미래,12.7,0.75,201.0,0.0506,,,,,미등록(비품번:설명/샘플/스펙),
12.7*0.75*220,미래,12.7,0.75,220.0,0.05538,,,,,미등록(비품번:설명/샘플/스펙),
12.7*0.75*268 2550*5=12750 개발신윤철 요청,미래,12.7,0.75,268.0,0.06746,,,,,미등록(비품번:설명/샘플/스펙),
12.7*0.75*300 2855*5=14275 개발윤동한 요청,미래,12.7,0.75,300.0,0.07552,,,,,미등록(비품번:설명/샘플/스펙),
12.7*0.75*419 3985*5=19925 개발윤동한 요청,미래,12.7,0.75,419.0,0.10547,,,,,미등록(비품번:설명/샘플/스펙),
12.7*0.75*52 495*10=4950 개발윤동한 요청,미래,12.7,0.75,52.0,0.01309,,,,,미등록(비품번:설명/샘플/스펙),
12.7*0.75*565 5375*5=26875 개발윤동한 요청,미래,12.7,0.75,565.0,0.14222,,,,,미등록(비품번:설명/샘플/스펙),
12.7*0.75*807 4608*5=23040 자재 제형제 차장님 보고,미래,12.7,0.75,807.0,0.20314,,,,,미등록(비품번:설명/샘플/스펙),
12.7*0.75*93MM 531*10=5310원    개발 윤동한 사원 요청,미래,12.7,0.75,93.0,0.02341,,,,,미등록(비품번:설명/샘플/스펙),
12.7*0.75*956 9100*5=45500 개발윤동한 요청,미래,12.7,0.75,956.0,0.24064,,,,,미등록(비품번:설명/샘플/스펙),
12.7*0.75*977 9300*5=46500 개발윤동한 요청,미래,12.7,0.75,977.0,0.24593,,,,,미등록(비품번:설명/샘플/스펙),
12.7*0.75*L1000,미래,12.7,0.75,1000.0,0.25172,,,,,미등록(비품번:설명/샘플/스펙),
12.7*0.75*L1000  5709*100=570900  고강도/SVC (개발 박준수 과장 요청),미래,12.7,0.75,1000.0,0.25172,,,,,미등록(비품번:설명/샘플/스펙),
12.7*0.75*L154 인탈산 717*60=43020 개발 박준수 과장 요청,미래,12.7,0.75,154.0,0.03877,,,,,미등록(비품번:설명/샘플/스펙),
12.7*0.75*L162 1540*7=10780 개발 윤동한 주임 요청,미래,12.7,0.75,162.0,0.04078,,,,,미등록(비품번:설명/샘플/스펙),
12.7*0.75*L200 1143*200=228600  개발 박준수 과장 요청,미래,12.7,0.75,200.0,0.05034,,,,,미등록(비품번:설명/샘플/스펙),
12.7*0.75*L233 2215*3=6645 개발 김경민 요청,미래,12.7,0.75,233.0,0.05865,,,,,미등록(비품번:설명/샘플/스펙),
12.7*0.75*L456 4340*7=30380 개발 윤동한 주임 요청,미래,12.7,0.75,456.0,0.11478,,,,,미등록(비품번:설명/샘플/스펙),
12.7*0.75*L68 387*20=7740 제형제 차장 요청,미래,12.7,0.75,68.0,0.01712,,,,,미등록(비품번:설명/샘플/스펙),
12.7*0.75*L902 8585*3=25755 서비스,미래,12.7,0.75,902.0,0.22705,,,,,미등록(비품번:설명/샘플/스펙),
12.7*0.75 L:500 2856*200=571200,미래,12.7,0.75,500.0,0.12586,,,,,미등록(비품번:설명/샘플/스펙),
15.88*0.9*1000,미래,15.88,0.95,1000.0,0.39836,,,,,미등록(비품번:설명/샘플/스펙),
15.88*0.95*192,미래,15.88,0.95,192.0,0.07648,,,,,미등록(비품번:설명/샘플/스펙),
15.88*0.95*200,미래,15.88,0.95,200.0,0.07967,,,,,미등록(비품번:설명/샘플/스펙),
15.88*0.95*225 3385*12=40620 개발신윤철,미래,15.88,0.95,225.0,0.08963,,,,,미등록(비품번:설명/샘플/스펙),
15.88*0.95*257,미래,15.88,0.95,257.0,0.10238,,,,,미등록(비품번:설명/샘플/스펙),
15.88*0.95*372 5595*12=67140 개발신윤철,미래,15.88,0.95,372.0,0.14819,,,,,미등록(비품번:설명/샘플/스펙),
15.88*0.95*425,미래,15.88,0.95,425.0,0.1693,,,,,미등록(비품번:설명/샘플/스펙),
15.88*0.95*L1000,미래,15.88,0.95,1000.0,0.39836,,,,,미등록(비품번:설명/샘플/스펙),
15.88*0.95*L1205 19120*2=38240 자재 제형제 차창 요청,미래,15.88,0.95,1205.0,0.48002,,,,,미등록(비품번:설명/샘플/스펙),
15.88*0.95*L232 3490*7=24430 개발 윤동한 주임 요청,미래,15.88,0.95,232.0,0.09242,,,,,미등록(비품번:설명/샘플/스펙),
15.88*0.95*L277 4165*10=41650 개발 신윤철 요청,미래,15.88,0.95,277.0,0.11034,,,,,미등록(비품번:설명/샘플/스펙),
15.88*0.95*L300 2706*200=541200 개발 박준수 과장 요청,미래,15.88,0.95,300.0,0.11951,,,,,미등록(비품번:설명/샘플/스펙),
15.88*0.95*L301.1 4530*10=45300 개발 신윤철 요청,미래,15.88,0.95,301.0,0.1199,,,,,미등록(비품번:설명/샘플/스펙),
15.88*0.95*L750  6768*100=676800 고강도/SVC (개발 박준수 과장 요청),미래,15.88,0.95,750.0,0.29877,,,,,미등록(비품번:설명/샘플/스펙),
15.88*0.95 L:500 4512*100=451200,미래,15.88,0.95,500.0,0.19918,,,,,미등록(비품번:설명/샘플/스펙),
15.88*01.95*437 6570*8=52560 개발신윤철,미래,15.88,0.95,437.0,0.17408,,,,,미등록(비품번:설명/샘플/스펙),
19.05*0.95 L:500 5424*100=545400,미래,19.05,0.95,500.0,0.24147,,,,,미등록(비품번:설명/샘플/스펙),
31.75*1.25*1031,미래,31.75,1.15,1031.0,1.01898,,,,,미등록(비품번:설명/샘플/스펙),★월/Assy별 치수 여러개
4.76*0.65*198,미래,4.76,0.65,198.0,0.01486,,,,,미등록(비품번:설명/샘플/스펙),
4.76*0.65*260,미래,4.76,0.65,260.0,0.01951,,,,,미등록(비품번:설명/샘플/스펙),
4.76*0.65*L164 490*2=980  김승진 대리 요청,미래,4.76,0.65,164.0,0.0123,,,,,미등록(비품번:설명/샘플/스펙),
4.76*0.65*L171    510*5=2550 자재 윤태선 요청,미래,4.76,0.65,171.0,0.01283,,,,,미등록(비품번:설명/샘플/스펙),
4.76*0.65*L180 535*2=1070  김승진 대리 요청,미래,4.76,0.65,180.0,0.01351,,,,,미등록(비품번:설명/샘플/스펙),
4.76*0.65*L187    555*5=2775 자재 윤태선 요청,미래,4.76,0.65,187.0,0.01403,,,,,미등록(비품번:설명/샘플/스펙),
4.76*0.65*L326 970*2=1940  김승진 대리 요청,미래,4.76,0.65,326.0,0.02446,,,,,미등록(비품번:설명/샘플/스펙),
4.76*0.65*L333    990*5=4950 자재 윤태선 요청,미래,4.76,0.65,333.0,0.02499,,,,,미등록(비품번:설명/샘플/스펙),
5210A0100B(*2)],이젠터,9.52,0.65,50.0,0.0081,,,,,미등록(비품번:설명/샘플/스펙),
5210A21400B(핀쵸프),MTS,6.35,0.7,80.0,0.00889,,,,,미등록(비품번:설명/샘플/스펙),
5998A20002A-2번,MTS,15.88,0.95,88.0,0.03506,,,,,미등록(비품번:설명/샘플/스펙),
5998A20002A-3번,MTS,15.88,0.95,232.0,0.09242,,,,,미등록(비품번:설명/샘플/스펙),
5998A20002A-4번,MTS,12.7,0.75,120.0,0.03021,,,,,미등록(비품번:설명/샘플/스펙),
6.35*0.55*L1000(고강도),미래,6.35,0.55,1000.0,0.08959,,,,,미등록(비품번:설명/샘플/스펙),
6.35*0.55*L128(고강도),미래,6.35,0.55,128.0,0.01147,,,,,미등록(비품번:설명/샘플/스펙),
6.35*0.55*L140(고강도),미래,6.35,0.55,140.0,0.01254,,,,,미등록(비품번:설명/샘플/스펙),
6.35*0.55*L156 고강도 546*60=32760 개발 박준수 과장 요청,미래,6.35,0.55,156.0,0.01398,,,,,미등록(비품번:설명/샘플/스펙),
6.35*0.55*L193(고강도),미래,6.35,0.55,193.0,0.01729,,,,,미등록(비품번:설명/샘플/스펙),
6.35*0.55*L324(고강도),미래,6.35,0.55,324.0,0.02903,,,,,미등록(비품번:설명/샘플/스펙),
6.35*0.55*L88(고강도),미래,6.35,0.55,88.0,0.00788,,,,,미등록(비품번:설명/샘플/스펙),
6.35*0.65*156 375*30=11250,미래,6.35,0.65,156.0,0.01623,,,,,미등록(비품번:설명/샘플/스펙),
6.35*0.65*159 381*10=3810,미래,6.35,0.65,159.0,0.01655,,,,,미등록(비품번:설명/샘플/스펙),
6.35*0.65*160,미래,6.35,0.65,160.0,0.01665,,,,,미등록(비품번:설명/샘플/스펙),
6.35*0.65*175 420*100=42000,미래,6.35,0.65,175.0,0.01821,,,,,미등록(비품번:설명/샘플/스펙),
6.35*0.65*192,미래,6.35,0.65,192.0,0.01998,,,,,미등록(비품번:설명/샘플/스펙),
6.35*0.65*192 765*10=7650 개발송민찬,미래,6.35,0.65,192.0,0.01998,,,,,미등록(비품번:설명/샘플/스펙),
6.35*0.65*196,미래,6.35,0.65,196.0,0.02039,,,,,미등록(비품번:설명/샘플/스펙),
6.35*0.65*196 780*10=7800 개발송민찬,미래,6.35,0.65,196.0,0.02039,,,,,미등록(비품번:설명/샘플/스펙),
6.35*0.65*42,미래,6.35,0.65,42.0,0.00437,,,,,미등록(비품번:설명/샘플/스펙),
6.35*0.65*42 170*10=1700 개발송민찬,미래,6.35,0.65,42.0,0.00437,,,,,미등록(비품번:설명/샘플/스펙),
6.35*0.65*45,미래,6.35,0.65,45.0,0.00468,,,,,미등록(비품번:설명/샘플/스펙),
6.35*0.65*45 180*10=1800 개발송민찬,미래,6.35,0.65,45.0,0.00468,,,,,미등록(비품번:설명/샘플/스펙),
6.35*0.65*52,미래,6.35,0.65,52.0,0.00541,,,,,미등록(비품번:설명/샘플/스펙),
6.35*0.65*52 210*10=2100 개발송민찬,미래,6.35,0.65,52.0,0.00541,,,,,미등록(비품번:설명/샘플/스펙),
6.35*0.65*55,미래,6.35,0.65,55.0,0.00572,,,,,미등록(비품번:설명/샘플/스펙),
6.35*0.65*55 220*10=2200 개발 송민찬,미래,6.35,0.65,55.0,0.00572,,,,,미등록(비품번:설명/샘플/스펙),
6.35*0.65*L1000,미래,6.35,0.65,1000.0,0.10406,,,,,미등록(비품번:설명/샘플/스펙),
6.35*0.65*L118,미래,6.35,0.65,118.0,0.01228,,,,,미등록(비품번:설명/샘플/스펙),
6.35*0.65*L142 565*4=2260 개발 송민찬 요청,미래,6.35,0.65,142.0,0.01478,,,,,미등록(비품번:설명/샘플/스펙),
6.35*0.65*L153   610*3=1830 자재 윤태선 요청,미래,6.35,0.95,153.0,0.02204,,,,,미등록(비품번:설명/샘플/스펙),
6.35*0.65*L156 인탈산 375*60=22500 개발 박준수 과장 요청,미래,6.35,0.65,156.0,0.01623,,,,,미등록(비품번:설명/샘플/스펙),
6.35*0.65*L183 730*4=2920 개발 송민찬 요청,미래,6.35,0.65,183.0,0.01904,,,,,미등록(비품번:설명/샘플/스펙),
6.35*0.65*L195 780*5=3900 개발 송민찬 요청,미래,6.35,0.65,195.0,0.02029,,,,,미등록(비품번:설명/샘플/스펙),
6.35*0.65*L270 1080*4=4320 개발 송민찬 요청,미래,63.5,0.65,270.0,0.30979,,,,,미등록(비품번:설명/샘플/스펙),
6.35*0.65*L370,미래,6.35,0.65,370.0,0.0385,,,,,미등록(비품번:설명/샘플/스펙),
6.35*0.65*L800  1917*100=191700  고강도/SVC (개발 박준수 과장 요청),미래,6.35,0.65,800.0,0.08325,,,,,미등록(비품번:설명/샘플/스펙),
6.35*0.65 L:500 1197*100=119700,미래,6.35,0.65,500.0,0.05203,,,,,미등록(비품번:설명/샘플/스펙),
"6.35ㄱ자,U자",중앙,6.35,0.65,117.0,0.01218,,,,,미등록(비품번:설명/샘플/스펙),
7.94 SAMPLE,케이비,7.94,0.65,1110.0,0.14772,,,,,미등록(비품번:설명/샘플/스펙),
7.94*0.65*1115 5720*5=28600 개발신윤철 요청,미래,7.94,0.65,1115.0,0.14839,,,,,미등록(비품번:설명/샘플/스펙),
7.94*0.65*L1000,미래,7.94,0.65,1000.0,0.13309,,,,,미등록(비품번:설명/샘플/스펙),
7.94*0.65*L1115  5720*5=28600 개발 신윤철 요청,미래,7.94,0.65,1115.0,0.14839,,,,,미등록(비품번:설명/샘플/스펙),
7.94*0.65*L120 615*7=4305 개발 윤동한 주임 요청,미래,7.94,0.65,120.0,0.01597,,,,,미등록(비품번:설명/샘플/스펙),
7.94*0.65*L900  2772*100=277200 고강도/SVC (개발 박준수 과장 요청),미래,7.94,0.65,900.0,0.11978,,,,,미등록(비품번:설명/샘플/스펙),
9.52*0.65*1004,미래,9.52,0.65,1004.0,0.16258,,,,,미등록(비품번:설명/샘플/스펙),
9.52*0.65*130 795*1=795 개발송민찬,미래,9.52,0.65,130.0,0.02105,,,,,미등록(비품번:설명/샘플/스펙),
9.52*0.65*216 1325*5=6625 개발신윤철 요청,미래,9.52,0.65,216.0,0.03498,,,,,미등록(비품번:설명/샘플/스펙),
9.52*0.65*218,미래,9.52,0.65,218.0,0.0353,,,,,미등록(비품번:설명/샘플/스펙),
9.52*0.65*268 1645*5=8225 개발윤동한 요청,미래,9.52,0.65,268.0,0.0434,,,,,미등록(비품번:설명/샘플/스펙),
9.52*0.65*303,미래,9.52,0.65,303.0,0.04906,,,,,미등록(비품번:설명/샘플/스펙),
"9.52*0.65*378  1392*20=27840 제형제 차장님 요청(지그 제작용)ADM75351201,MJU66779402",미래,9.52,0.65,378.0,0.06121,,,,,미등록(비품번:설명/샘플/스펙),
9.52*0.65*395,미래,9.52,0.65,395.0,0.06396,,,,,미등록(비품번:설명/샘플/스펙),
9.52*0.65*411 2520*5=12600 개발윤동한 요청,미래,9.52,0.65,411.0,0.06655,,,,,미등록(비품번:설명/샘플/스펙),
9.52*0.65*50,미래,9.52,0.65,50.0,0.0081,,,,,미등록(비품번:설명/샘플/스펙),
9.52*0.65*519 3185*1=3185 개발 송민찬,미래,9.52,0.65,519.0,0.08404,,,,,미등록(비품번:설명/샘플/스펙),
9.52*0.65*63 385*10=3850 개발신윤철 요청,미래,9.52,0.65,63.0,0.0102,,,,,미등록(비품번:설명/샘플/스펙),
9.52*0.65*66 405*5=2025 개발신윤철 요청,미래,9.52,0.65,66.0,0.01069,,,,,미등록(비품번:설명/샘플/스펙),
9.52*0.65*72,미래,9.52,0.65,72.0,0.01166,,,,,미등록(비품번:설명/샘플/스펙),
9.52*0.65*987,미래,9.52,0.65,987.0,0.15982,,,,,미등록(비품번:설명/샘플/스펙),
9.52*0.65*L1000,미래,9.52,0.65,1000.0,0.16193,,,,,미등록(비품번:설명/샘플/스펙),
9.52*0.65*L154  945*23=21735  개발 신윤철 요청,미래,9.52,0.65,199.0,0.03222,,,,,미등록(비품번:설명/샘플/스펙),
9.52*0.65*L176 1080*3=3240 개발 송민찬 요청,미래,9.52,0.65,176.0,0.0285,,,,,미등록(비품번:설명/샘플/스펙),
9.52*0.65*L300 1104*200=220800 개발 박준수 과장 요청,미래,9.52,0.65,300.0,0.04858,,,,,미등록(비품번:설명/샘플/스펙),
9.52*0.65*L57 350*3=1050 개발 송민찬 요청,미래,9.52,0.65,57.0,0.00923,,,,,미등록(비품번:설명/샘플/스펙),
9.52*0.65*L62 380*6=2280 개발 송민찬 요청,미래,9.52,0.65,62.0,0.01004,,,,,미등록(비품번:설명/샘플/스펙),
9.52*0.65*L65     400*3=1200 자재 윤태선 요청,미래,9.52,0.65,65.0,0.01052,,,,,미등록(비품번:설명/샘플/스펙),
9.52*0.65*L65  240*5=1200 개발 송민찬 사원 요청,미래,9.52,0.65,65.0,0.01052,,,,,미등록(비품번:설명/샘플/스펙),
9.52*0.65*L750  2760*100=276000  고강도/SVC (개발 박준수 과장 요청),미래,9.52,0.65,750.0,0.12145,,,,,미등록(비품번:설명/샘플/스펙),
9.52*0.65*L933 6725*2=13450 제차장님 요청,미래,9.52,0.65,933.0,0.15108,,,,,미등록(비품번:설명/샘플/스펙),
9.52*0.65*L94  345*5=1725 개발 송민찬 사원 요청,미래,9.52,0.65,94.0,0.01522,,,,,미등록(비품번:설명/샘플/스펙),
9.52*0.65 L:500 1839*200=367800,미래,9.52,0.65,500.0,0.08096,,,,,미등록(비품번:설명/샘플/스펙),
"9.52ㄱ자,U자",중앙,9.52,0.65,132.0,0.02138,,,,,미등록(비품번:설명/샘플/스펙),
AJR30007101-9-1(용접링),미래,9.52,0.65,240.0,0.03886,,,,,미등록(비품번:설명/샘플/스펙),
AJR30007101-9-2(용접링),미래,9.52,0.65,112.0,0.01814,,,,,미등록(비품번:설명/샘플/스펙),
AJR30007101-9-3(용접링),미래,9.52,0.65,341.0,0.05522,,,,,미등록(비품번:설명/샘플/스펙),
AJR30007101-9-4(용접링),미래,9.52,0.65,429.0,0.06947,,,,,미등록(비품번:설명/샘플/스펙),
AJR30007102-9-1(용접링),미래,9.52,0.65,327.0,0.05295,,,,,미등록(비품번:설명/샘플/스펙),
AJR30007102-9-2(용접링),미래,9.52,0.65,436.0,0.0706,,,,,미등록(비품번:설명/샘플/스펙),
AJR30007102-9-3(용접링),미래,9.52,0.65,244.0,0.03951,,,,,미등록(비품번:설명/샘플/스펙),
AJR74364919-4-1(용접링),미래,9.52,0.65,171.0,0.02769,,,,,미등록(비품번:설명/샘플/스펙),
AJR74364919-4-2(용접링),미래,9.52,0.65,148.0,0.02397,,,,,미등록(비품번:설명/샘플/스펙),
AJR74364919-4-3(용접링),미래,9.52,0.65,98.0,0.01587,,,,,미등록(비품번:설명/샘플/스펙),
AJR74364919-4-4(용접링),미래,9.52,0.65,171.0,0.02769,,,,,미등록(비품번:설명/샘플/스펙),
AJR74364921-4-1(용접링),미래,9.52,0.65,166.0,0.02688,,,,,미등록(비품번:설명/샘플/스펙),
AJR74364921-4-2(용접링),미래,9.52,0.65,133.0,0.02154,,,,,미등록(비품번:설명/샘플/스펙),
AJR74364921-4-3(용접링),미래,9.52,0.65,172.0,0.02785,,,,,미등록(비품번:설명/샘플/스펙),
AJR74364921-4-4(링X),미래,9.52,0.65,106.0,0.01716,,,,,미등록(비품번:설명/샘플/스펙),
AJR74364921-4-4(용접링),미래,9.52,0.65,106.0,0.01716,,,,,미등록(비품번:설명/샘플/스펙),
AJR76166401-9-1(용접링),미래,9.52,0.65,414.0,0.06704,,,,,미등록(비품번:설명/샘플/스펙),
AJR76166401-9-2(용접링),미래,9.52,0.65,246.0,0.03984,,,,,미등록(비품번:설명/샘플/스펙),
AJR77225303-1-1+용접링,중앙,9.52,0.55,219.0,0.03035,,,,,미등록(비품번:설명/샘플/스펙),
AJR77225303-1-2+용접링,중앙,9.52,0.55,343.0,0.04753,,,,,미등록(비품번:설명/샘플/스펙),
AJR77226301-9-3(용접링),미래,9.52,0.65,112.0,0.01814,,,,,미등록(비품번:설명/샘플/스펙),
AJR77226301-9-4(용접링),미래,9.52,0.65,440.0,0.07125,,,,,미등록(비품번:설명/샘플/스펙),
AJR77226301-9-5(용접링),미래,9.52,0.65,246.0,0.03984,,,,,미등록(비품번:설명/샘플/스펙),
AJR77226301-9-6(용접링),미래,9.52,0.65,329.0,0.05328,,,,,미등록(비품번:설명/샘플/스펙),
AJR77263001-9-1(용접링),미래,9.52,0.65,483.0,0.07821,,,,,미등록(비품번:설명/샘플/스펙),
AJR77263001-9-2(용접링),미래,9.52,0.65,259.0,0.04194,,,,,미등록(비품번:설명/샘플/스펙),
ASSY 직납,이젠터,5.0,0.41,88.0,0.00465,,,,,미등록(비품번:설명/샘플/스펙),★월/Assy별 치수 여러개
CAPILLARY TUBU,미래,6.35,0.65,460.0,0.04787,,,,,미등록(비품번:설명/샘플/스펙),
COND IN OUT-PART1,미래,12.7,0.75,100.0,0.02517,,,,,미등록(비품번:설명/샘플/스펙),
COND IN OUT-PART2,미래,12.7,0.75,89.0,0.0224,,,,,미등록(비품번:설명/샘플/스펙),
COND IN OUT-PART7,미래,6.35,0.65,567.0,0.059,,,,,미등록(비품번:설명/샘플/스펙),
COND OUT,미래,9.52,0.65,644.0,0.10428,,,,,미등록(비품번:설명/샘플/스펙),★월/Assy별 치수 여러개
COND OUT PART1,미래,9.52,0.65,487.0,0.07886,,,,,미등록(비품번:설명/샘플/스펙),★월/Assy별 치수 여러개
COND OUT PART10,미래,6.35,0.65,234.0,0.02435,,,,,미등록(비품번:설명/샘플/스펙),
COND OUT PART2,미래,7.94,0.65,46.0,0.00612,,,,,미등록(비품번:설명/샘플/스펙),★월/Assy별 치수 여러개
COND OUT PART3,미래,9.52,0.65,164.0,0.02656,,,,,미등록(비품번:설명/샘플/스펙),★월/Assy별 치수 여러개
COND OUT PART4,미래,12.7,0.75,446.0,0.11227,,,,,미등록(비품번:설명/샘플/스펙),★월/Assy별 치수 여러개
COND OUT PART5,미래,15.88,0.95,138.0,0.05497,,,,,미등록(비품번:설명/샘플/스펙),★월/Assy별 치수 여러개
COND OUT PART6,미래,6.35,0.65,182.0,0.01894,,,,,미등록(비품번:설명/샘플/스펙),★월/Assy별 치수 여러개
COND OUT PART8,미래,12.7,0.75,93.0,0.02341,,,,,미등록(비품번:설명/샘플/스펙),
COND OUT PART9,미래,6.35,0.65,183.0,0.01904,,,,,미등록(비품번:설명/샘플/스펙),
COND OUT PIPE,미래,9.52,0.65,439.0,0.07109,,,,,미등록(비품번:설명/샘플/스펙),★월/Assy별 치수 여러개
COND OUT SUCTION PART1,미래,22.22,1.15,494.0,0.33618,,,,,미등록(비품번:설명/샘플/스펙),
COND OUT SUCTION PART2,미래,22.22,1.15,451.0,0.30692,,,,,미등록(비품번:설명/샘플/스펙),
COND OUT SUCTION PART3,미래,22.22,1.15,346.0,0.23547,,,,,미등록(비품번:설명/샘플/스펙),
COND OUT SUCTION PART4,미래,22.22,1.15,421.0,0.28651,,,,,미등록(비품번:설명/샘플/스펙),
COND OUT SUCTION PART5,미래,22.22,1.15,351.0,0.23887,,,,,미등록(비품번:설명/샘플/스펙),
COND OUT SUCTION PART6,미래,22.22,1.15,162.0,0.11025,,,,,미등록(비품번:설명/샘플/스펙),
COND OUT SUCTION PART7,미래,22.22,1.15,129.0,0.08779,,,,,미등록(비품번:설명/샘플/스펙),
COND OUT SUCTION PART8,미래,22.22,1.15,101.0,0.06873,,,,,미등록(비품번:설명/샘플/스펙),
COND OUT SUCTION-PART1,미래,22.22,1.15,99.0,0.06737,,,,,미등록(비품번:설명/샘플/스펙),
COND OUT SUCTION-PART2,미래,22.22,1.15,54.0,0.03675,,,,,미등록(비품번:설명/샘플/스펙),
COND OUT SUCTION-PART3,미래,22.22,1.15,251.0,0.17081,,,,,미등록(비품번:설명/샘플/스펙),
COND OUT SUCTION-PART4,미래,22.22,1.15,858.0,0.5839,,,,,미등록(비품번:설명/샘플/스펙),
COND OUT SUCTION-PART5,미래,22.22,1.15,67.0,0.0456,,,,,미등록(비품번:설명/샘플/스펙),
COND OUT SUCTION-PART6,미래,22.22,1.15,311.0,0.21165,,,,,미등록(비품번:설명/샘플/스펙),
COND OUT 커넥터1,대원,9.52,0.65,338.0,0.05473,,,,,미등록(비품번:설명/샘플/스펙),★월/Assy별 치수 여러개
COND OUT 커넥터2,대원,6.35,0.7,307.0,0.0341,,,,,미등록(비품번:설명/샘플/스펙),★월/Assy별 치수 여러개
COND OUT 커넥터3,대원,9.52,0.65,701.0,0.11351,,,,,미등록(비품번:설명/샘플/스펙),★월/Assy별 치수 여러개
COND OUT-D,미래,9.52,0.65,474.0,0.07675,,,,,미등록(비품번:설명/샘플/스펙),★월/Assy별 치수 여러개
COND OUT-PART1,미래,15.88,0.95,907.0,0.36131,,,,,미등록(비품번:설명/샘플/스펙),
COND OUT-PART2,미래,6.35,0.65,225.0,0.02341,,,,,미등록(비품번:설명/샘플/스펙),
COND OUT-PART3,미래,15.88,0.95,657.0,0.26172,,,,,미등록(비품번:설명/샘플/스펙),
COND OUT-PART4,미래,15.88,0.95,423.0,0.1685,,,,,미등록(비품번:설명/샘플/스펙),
COND OUT-PART5,미래,15.88,0.95,292.0,0.11632,,,,,미등록(비품번:설명/샘플/스펙),
