품번,협력사,담당외경,담당T,담당길이,담당개당중량,내외경,내T,내길이,내개당중량,원인,비고
MJU66954604 7.94*0.65*L120 369*6=2214 개발 윤동한 주임 요청,미래,7.94,0.65,120.0,0.01597,,,,,미등록(비품번:설명/샘플/스펙),
MJU66954608 12.7*0.75*L162 924*6=5544 개발 윤동한 주임 요청,미래,12.7,0.75,162.0,0.04078,,,,,미등록(비품번:설명/샘플/스펙),
MJU66954609 12.7*0.75*L232 1326*6=7956 개발 윤동한 주임 요청,미래,12.7,0.75,232.0,0.0584,,,,,미등록(비품번:설명/샘플/스펙),
MJU66954609 초품용 12.7*0.75*L234 2225*7=15575,미래,127.0,0.75,234.0,0.62229,,,,,미등록(비품번:설명/샘플/스펙),
MJU66954706 6.35*0.65*L203 810*6=4860 개발 김경민 요청,미래,6.35,0.65,203.0,0.02112,,,,,미등록(비품번:설명/샘플/스펙),
MJU66954706/초품 6.35*0.65*L203 810*7=5670  개발 김경민 요청,미래,6.35,0.65,203.0,0.02112,,,,,미등록(비품번:설명/샘플/스펙),
MJU66954708 7.94*0.65*L300 1540*6=9240 개발 김경민 요청,미래,7.94,0.65,300.0,0.03993,,,,,미등록(비품번:설명/샘플/스펙),
MJU66954708/초품 7.94*0.65*L300 1540*7=10780  개발 김경민 요청,미래,7.94,0.65,300.0,0.03993,,,,,미등록(비품번:설명/샘플/스펙),
MJU66954709 6.35*0.65*L205 820*6=4920 개발 김경민 요청,미래,6.35,0.65,205.0,0.02133,,,,,미등록(비품번:설명/샘플/스펙),
MJU66954709/초품 6.35*0.65*L205 820*7=5740  개발 김경민 요청,미래,6.35,0.65,205.0,0.02133,,,,,미등록(비품번:설명/샘플/스펙),
MJU66959201 12.7*0.75*L229 2180*8=17440 개발 신윤철 요청,미래,12.7,0.75,229.0,0.05764,,,,,미등록(비품번:설명/샘플/스펙),
MJU66959202 12.7*0.75*L233 2215*15=33225 개발 신윤철 요청,미래,12.7,0.75,233.0,0.05865,,,,,미등록(비품번:설명/샘플/스펙),
MJU66964701+MJU64433003,미래,9.52,0.65,423.0,0.0685,,,,,미등록(비품번:설명/샘플/스펙),
MJU66964801+MJU64433003,미래,9.52,0.65,136.0,0.02202,,,,,미등록(비품번:설명/샘플/스펙),
MJU66965201+MJU64433003,미래,9.52,0.65,519.0,0.08404,,,,,미등록(비품번:설명/샘플/스펙),
MJU66965301+MJU64433003,중앙,9.52,0.65,338.0,0.05473,,,,,미등록(비품번:설명/샘플/스펙),
MJU66967701+MJU64433003,미래,9.52,0.65,130.0,0.02105,,,,,미등록(비품번:설명/샘플/스펙),
MJU66967901+MJU64433003,중앙,9.52,0.65,143.0,0.02316,,,,,미등록(비품번:설명/샘플/스펙),
MJU66968001+MJU64433003,중앙,9.52,0.65,164.0,0.02656,,,,,미등록(비품번:설명/샘플/스펙),
P7.94 양쪽 O.D9.52 확관 샘플 7.94*0.65*L557  2860*10=28600 개발 송민찬 요청,미래,7.94,0.65,557.0,0.07413,,,,,미등록(비품번:설명/샘플/스펙),
P7.94 양쪽 O.D9.52 확관 샘플(SPRING 추가) 7.94*0.65*L555 2850*2=5700 개발 송민찬 요청,미래,7.94,0.65,555.0,0.07386,,,,,미등록(비품번:설명/샘플/스펙),
SUCTION PIPE,미래,12.7,0.75,1130.0,0.28444,,,,,미등록(비품번:설명/샘플/스펙),★월/Assy별 치수 여러개
SUCTION PIPE1,미래,12.7,0.75,1240.0,0.31213,,,,,미등록(비품번:설명/샘플/스펙),
SUCTION PIPE2,미래,6.35,0.65,92.0,0.00957,,,,,미등록(비품번:설명/샘플/스펙),
SUCTION 커넥터1,대원,12.7,0.75,1152.0,0.28998,,,,,미등록(비품번:설명/샘플/스펙),★월/Assy별 치수 여러개
SUCTION 커넥터2,대원,6.35,0.7,92.0,0.01022,,,,,미등록(비품번:설명/샘플/스펙),
SUCTION 커넥터3,대원,15.88,0.95,1001.0,0.39875,,,,,미등록(비품번:설명/샘플/스펙),
SVC요청건 9.52*0.65*L107 개발 박준수K,미래,9.52,0.65,107.0,0.01733,,,,,미등록(비품번:설명/샘플/스펙),
SVC요청건 9.52*0.65*L253 개발 박준수K,미래,9.52,0.65,253.0,0.04097,,,,,미등록(비품번:설명/샘플/스펙),
SVC요청건 9.52*0.65*L88 개발 박준수K,미래,9.52,0.65,88.0,0.01425,,,,,미등록(비품번:설명/샘플/스펙),
T-88PATH-EXPAN TUBE1,케이비,4.76,0.7,400.0,0.03193,,,,,미등록(비품번:설명/샘플/스펙),
T-88PATH-EXPAN TUBE2,케이비,4.76,0.7,400.0,0.03193,,,,,미등록(비품번:설명/샘플/스펙),
T-88PATH-EXPAN TUBE3,케이비,4.76,0.7,400.0,0.03193,,,,,미등록(비품번:설명/샘플/스펙),
T-88PATH-EXPAN TUBE4-1,케이비,4.76,0.7,100.0,0.00798,,,,,미등록(비품번:설명/샘플/스펙),
T-88PATH-EXPAN TUBE6,케이비,4.76,0.7,300.0,0.02395,,,,,미등록(비품번:설명/샘플/스펙),
T-88PATH-EXPAN TUBE7,케이비,4.76,0.7,400.0,0.03193,,,,,미등록(비품번:설명/샘플/스펙),
T-88PATH-EXPAN TUBE8,케이비,4.76,0.7,300.0,0.02395,,,,,미등록(비품번:설명/샘플/스펙),
T-88PATH-MANI SINGLE TUBE3,케이비,7.0,0.7,59.0,0.00731,,,,,미등록(비품번:설명/샘플/스펙),
T-88PATH-MANI SINGLE TUBE4,케이비,7.0,0.7,162.0,0.02006,,,,,미등록(비품번:설명/샘플/스펙),
T-88PATH-MANI SINGLE TUBE5,케이비,7.0,0.7,150.0,0.01858,,,,,미등록(비품번:설명/샘플/스펙),
T-88PATH-MANI SINGLE TUBE5-1,케이비,7.0,0.7,150.0,0.01858,,,,,미등록(비품번:설명/샘플/스펙),
T-88PATH-MANI SINGLE TUBE6,케이비,7.0,0.7,423.0,0.05239,,,,,미등록(비품번:설명/샘플/스펙),
T-88PATH-MANI SINGLE TUBE7,케이비,7.0,0.7,423.0,0.05239,,,,,미등록(비품번:설명/샘플/스펙),
T-88PATH-MANI TUBE3,케이비,7.0,0.7,159.0,0.01969,,,,,미등록(비품번:설명/샘플/스펙),
T-88PATH-MANI TUBE4,케이비,7.0,0.7,162.0,0.02006,,,,,미등록(비품번:설명/샘플/스펙),
T-88PATH-MANI TUBE5,케이비,7.0,0.7,150.0,0.01858,,,,,미등록(비품번:설명/샘플/스펙),
T-88PATH-MANI TUBE5-1,케이비,7.0,0.7,150.0,0.01858,,,,,미등록(비품번:설명/샘플/스펙),
T-88PATH-MANI TUBE6,케이비,7.0,0.7,423.0,0.05239,,,,,미등록(비품번:설명/샘플/스펙),
