품번,파이프수불_치수들,견적서_치수,업체명
MJU47978304,7.94x0.55x235 / 7.94x0.65x231 / 7.94x0.65x232 / 7.94x0.65x235,7.94x0.55x235 / 7.94x0.65x231 / 7.94x0.65x232 / 7.94x0.65x235,"미래정밀,썬텍코리아"
MJU47978305,6.35x0.55x155 / 6.35x0.65x154 / 6.35x0.65x155,6.35x0.55x155 / 6.35x0.65x154 / 6.35x0.65x155,"미래정밀,썬텍코리아"
MJU55250505,9.52x0.65x448 / 12.7x0.75x436 / 12.7x0.75x448,9.52x0.65x448 / 12.7x0.75x448,미래정밀
MJU58941308,6.35x0.55x100 / 6.35x0.65x98 / 6.35x0.65x100 / 6.35x0.65x101,6.35x0.55x100 / 6.35x0.65x98 / 6.35x0.65x100 / 6.35x0.65x101,"미래정밀,썬텍코리아,이젠터"
MJU58941309,6.35x0.55x118 / 6.35x0.65x117 / 6.35x0.65x118 / 6.35x0.65x119,6.35x0.55x118 / 6.35x0.65x117 / 6.35x0.65x118 / 6.35x0.65x119,"미래정밀,썬텍코리아,이젠터"
MJU58941310,6.35x0.55x186 / 6.35x0.65x185 / 6.35x0.65x186 / 6.35x0.65x190,6.35x0.55x186 / 6.35x0.65x185 / 6.35x0.65x186 / 6.35x0.65x187 / 6.35x0.65x190,"대원산업,미래정밀,썬텍코리아,이젠터"
MJU58941311,12.7x0.6x292 / 12.7x0.75x289 / 12.7x0.75x290 / 12.7x0.75x292,12.7x0.6x292 / 12.7x0.75x289 / 12.7x0.75x290 / 12.7x0.75x292,"미래정밀,썬텍코리아,이젠터"
MJU62287008,15.77x0.95x368 / 15.88x0.95x269 / 15.88x0.95x368 / 15.88x0.95x369,15.88x0.95x269,케이비
MJU62392701,5.0x0.65x435 / 6.35x0.65x435,5.0x0.65x435 / 6.35x0.65x435,"미래정밀,중앙정밀"
MJU62732605,6.35x0.65x137 / 6.35x0.7x135 / 6.35x0.7x137 / 6.35x0.7x138,6.35x0.65x137 / 6.35x0.65x138 / 6.35x0.7x135 / 6.35x0.7x147,"미래정밀,중앙정밀"
MJU62792304,15.88x0.95x247 / 15.88x0.95x249 / 15.88x0.98x247,15.88x0.95x249,케이비
MJU62837001,7.94x0.65x610 / 9.52x0.65x53,(견적서 없음),이젠터
MJU62987402,6.35x0.65x215 / 6.35x0.9x76,6.35x0.9x75,"중앙정밀,케이비"
MJU63073606,7.94x0.65x67 / 9.52x0.65x70,9.52x0.65x70,"대원산업,중앙정밀"
MJU63407306,6.35x0.85x61 / 6.35x0.9x67,6.35x0.85x61 / 6.35x0.9x67,케이비
MJU63669511,9.52x0.55x137 / 9.52x0.65x137,9.52x0.65x137,중앙정밀
MJU63669606,9.52x0.55x88 / 9.52x0.65x88,9.52x0.65x88,중앙정밀
MJU63687708,9.52x0.55x161 / 9.52x0.65x161,9.52x0.65x161,중앙정밀
MJU63748401,12.7x0.65x124 / 12.7x0.75x123 / 12.7x0.75x124,12.7x0.65x124 / 12.7x0.75x123 / 12.7x0.75x124,이젠터
MJU63788201,6.35x0.65x97 / 6.35x0.9x99,6.35x0.65x97,"대원산업,중앙정밀"
MJU63927401,6.35x0.65x129 / 6.35x0.65x132 / 6.35x0.9x132,6.35x0.65x129,"대원산업,중앙정밀"
MJU64186601,6.35x0.55x118 / 6.35x0.65x118 / 6.35x0.65x119,6.35x0.65x118 / 6.35x0.65x119,이젠터
MJU64186621,6.35x0.55x118 / 6.35x0.65x118 / 6.35x0.65x119,6.35x0.65x118 / 6.35x0.65x119,이젠터
MJU64189404,12.7x0.6x377 / 12.7x0.75x377 / 12.7x0.75x378,12.7x0.75x377 / 12.7x0.75x378,이젠터
MJU64408006,7.94x0.65x917 / 7.94x0.65x918 / 12.7x0.75x908,7.94x0.65x917,"미래정밀,중앙정밀"
MJU64431914,4.76x0.65x292 / 4.76x0.65x294 / 4.76x0.7x293,4.76x0.65x292,"대원산업,케이비"
MJU64431915,4.76x0.65x280 / 4.76x0.65x281 / 4.76x0.7x281,4.76x0.65x280,"대원산업,케이비"
MJU64431916,4.76x0.65x235 / 4.76x0.65x238 / 4.76x0.65x239 / 4.76x0.7x239,4.76x0.65x238,"대원산업,케이비"
MJU64712201,6.35x0.65x257 / 9.52x0.65x257,(견적서 없음),미래정밀
MJU64773404,7.0x0.65x71 / 12.7x0.75x289,7.0x0.65x71,이젠터
MJU64794201,6.35x0.65x173 / 6.35x0.65x176 / 9.52x0.65x177,6.35x0.65x173 / 6.35x0.65x177,"명진산업,미래정밀,이젠터"
MJU64794202,6.35x0.65x159 / 6.35x0.65x162 / 6.35x0.65x178 / 9.52x0.65x164,6.35x0.65x162 / 6.35x0.65x164,"명진산업,미래정밀,이젠터"
MJU64856606,6.35x0.65x295 / 6.35x0.65x299 / 6.35x0.65x300 / 12.7x0.75x298,6.35x0.65x295 / 6.35x0.65x299 / 6.35x0.65x300,"미래정밀,이젠터,케이비"
MJU64866709,9.52x0.65x399 / 15.88x0.95x399,(견적서 없음),MTS
MJU64867625,7.94x0.55x953 / 7.94x0.65x953,7.94x0.55x953 / 7.94x0.65x953,미래정밀
MJU64867626,9.52x0.55x1205 / 9.52x0.65x1205,9.52x0.55x1205 / 9.52x0.65x1205,대원산업
MJU64987001,7.94x0.65x127 / 7.94x0.65x130 / 9.52x0.65x182,7.94x0.65x127 / 7.94x0.65x130,케이비
MJU65486405,9.52x0.65x154 / 12.7x0.75x95,(견적서 없음),미래정밀
MJU65516603,6.35x0.65x120 / 6.35x0.65x122 / 6.35x0.7x122 / 6.35x0.7x123,6.35x0.65x122 / 6.35x0.65x123 / 6.35x0.7x122,"대원산업,미래정밀,이젠터"
MJU65868001,9.52x0.65x139 / 15.88x0.95x522,(견적서 없음),"MTS,미래정밀"
MJU66478201,9.52x0.55x192 / 9.52x0.55x203 / 9.52x0.65x192 / 9.52x0.65x203,(견적서 없음),대원산업
MJU66478202,12.7x0.6x178 / 12.7x0.75x178,(견적서 없음),대원산업
MJU66478203,12.7x0.6x173 / 12.7x0.75x173,(견적서 없음),대원산업
MJU66478204,12.7x0.6x181 / 12.7x0.75x177 / 12.7x0.75x181,12.7x0.75x177,"대원산업,미래정밀"
MJU66573301,9.52x0.65x112 / 15.88x0.95x134,(견적서 없음),미래정밀
MJU66773701,12.7x0.65x378 / 12.7x0.75x370,12.7x0.65x378 / 12.7x0.75x370,"대원산업,케이비"
MJU66779316,9.52x0.65x42 / 9.52x1.45x42,9.52x0.65x42 / 9.52x1.45x42,"미래정밀,케이비"
MJU66806101,12.7x0.75x62 / 12.7x0.8x62,12.7x0.75x62,"이젠터,케이비"
MJU66821702,6.35x0.65x76 / 9.52x0.65x76,6.35x0.65x76,썬텍코리아
MJU66900501,7.94x0.65x619 / 7.94x0.65x628 / 9.52x0.65x60 / 9.52x0.65x110 / 12.7x0.75x67 / 12.7x0.75x122 / 12.7x0.75x285,7.94x0.65x610 / 7.94x0.65x619 / 7.94x0.65x628,"대원산업,이젠터,케이비"
MJU66929504,6.35x0.55x185 / 6.35x0.55x190 / 6.35x0.65x187,6.35x0.55x185 / 6.35x0.55x190,"대원산업,미래정밀,이젠터"
MJU66936607,6.35x0.65x244 / 9.52x0.55x143 / 9.52x0.55x164 / 9.52x0.65x143 / 9.52x0.65x164,6.35x0.65x244,중앙정밀
MJU66965301,9.52x0.55x338 / 9.52x0.65x338,9.52x0.65x338,중앙정밀
MJU66968101,6.35x0.36x195 / 6.35x0.65x195,6.35x0.65x195,중앙정밀
SUCTION-2,6.35x0.65x85 / 12.7x0.75x460,(견적서 없음),미래정밀
T-C01834715,7.0x0.65x180 / 12.7x0.75x249,(견적서 없음),미래정밀
T-U24A-DIS-CONNECTOR,9.52x0.65x249 / 12.7x0.75x940,(견적서 없음),이젠터
T-U36A.PIPE01,7.0x0.65x266 / 12.7x0.75x220,(견적서 없음),케이비
