협력사,품번,품명,등급,제작동관중량,시점,이전원재료비,이후원재료비,원재료비증가,사급부품가,가공비(고정),이전판가,이후판가,판가증가,최근납품가
명진산업,AJR73965601-19-9,"Tube,Connector",일반CU,0.0,올해(20k),0,0,0,390,1154,1544,1544,0,2419
명진산업,AJR73965601-19-10,"Tube,Connector",일반CU,0.0,올해(20k),0,0,0,446,1256,1702,1702,0,2469
명진산업,AJR73965601-19-11,"Tube,Connector",일반CU,0.0,올해(20k),0,0,0,390,642,1032,1032,0,950
명진산업,AJR73965601-19-12,"Tube,Connector",일반CU,0.0,올해(20k),0,0,0,390,734,1124,1124,0,1000
명진산업,AJR73965602-19-1,"Tube,Connector",일반CU,0.0,올해(20k),0,0,0,390,872,1262,1262,0,2029
명진산업,AJR73965602-19-2,"Tube,Connector",일반CU,0.0,올해(20k),0,0,0,390,872,1262,1262,0,2051
명진산업,AJR73965602-19-3,"Tube,Connector",일반CU,0.0,올해(20k),0,0,0,390,884,1274,1274,0,2051
명진산업,AJR73965602-19-4,"Tube,Connector",일반CU,0.0,올해(20k),0,0,0,390,904,1294,1294,0,1883
명진산업,AJR73965602-19-5,"Tube,Connector",일반CU,0.0,올해(20k),0,0,0,390,904,1294,1294,0,1883
명진산업,AJR73965602-19-6,"Tube,Connector",일반CU,0.0,올해(20k),0,0,0,390,904,1294,1294,0,1883
명진산업,AJR73965602-19-7,"Tube,Connector",일반CU,0.0,올해(20k),0,0,0,390,1064,1454,1454,0,2161
명진산업,AJR73965602-19-8,"Tube,Connector",일반CU,0.0,올해(20k),0,0,0,390,1064,1454,1454,0,2161
명진산업,AJR73965602-19-9,"Tube,Connector",일반CU,0.0,올해(20k),0,0,0,390,1154,1544,1544,0,2419
명진산업,AJR73965602-19-10,"Tube,Connector",일반CU,0.0,올해(20k),0,0,0,446,1255,1701,1701,0,2469
명진산업,AJR73965602-19-11,"Tube,Connector",일반CU,0.0,올해(20k),0,0,0,390,642,1032,1032,0,900
명진산업,AJR73965602-19-12,"Tube,Connector",일반CU,0.0,올해(20k),0,0,0,390,742,1132,1132,0,1000
명진산업,AJR75062906-19-1,"Tube,Connector",일반CU,0.0,올해(20k),0,0,0,1054,481,1535,1535,0,1800
명진산업,AJR75062906-19-2,"Tube,Connector",일반CU,0.0,올해(20k),0,0,0,880,421,1301,1301,0,1550
명진산업,AJR75062906-19-3,"Tube,Connector",일반CU,0.0,올해(20k),0,0,0,853,421,1274,1274,0,1500
명진산업,AJR75062906-19-4,"Tube,Connector",일반CU,0.0,올해(20k),0,0,0,699,403,1102,1102,0,1250
명진산업,AJR75062906-19-5,"Tube,Connector",일반CU,0.0,올해(20k),0,0,0,838,438,1276,1276,0,1530
명진산업,AJR75062906-19-6,"Tube,Connector",일반CU,0.0,올해(20k),0,0,0,981,424,1405,1405,0,1550
명진산업,AJR75062906-19-7,"Tube,Connector",일반CU,0.0,올해(20k),0,0,0,1018,427,1445,1445,0,1600
명진산업,AJR75062906-19-8,"Tube,Connector",일반CU,0.0,올해(20k),0,0,0,983,425,1408,1408,0,1550
명진산업,AJR75062906-19-9,"Tube,Connector",일반CU,0.0,올해(20k),0,0,0,913,419,1332,1332,0,1500
명진산업,AJR75062906-19-10,"Tube,Connector",일반CU,0.0,올해(20k),0,0,0,1053,430,1483,1483,0,1570
명진산업,AJR75062907-19-1,"Tube,Connector",일반CU,0.0,올해(20k),0,0,0,1110,388,1498,1498,0,1600
명진산업,AJR75062907-19-2,"Tube,Connector",일반CU,0.0,올해(20k),0,0,0,1223,446,1669,1669,0,1800
명진산업,AJR75062907-19-3,"Tube,Connector",일반CU,0.0,올해(20k),0,0,0,1110,413,1523,1523,0,1550
명진산업,AJR75062907-19-4,"Tube,Connector",일반CU,0.0,올해(20k),0,0,0,821,379,1200,1200,0,1300
명진산업,AJR75062907-19-5,"Tube,Connector",일반CU,0.0,올해(20k),0,0,0,1048,408,1456,1456,0,1600
명진산업,AJR73965606-19-1,"Tube,Connector",일반CU,0.0,올해(20k),0,0,0,1581,649,2230,2230,0,3899
명진산업,AJR73965606-19-2,"Tube,Connector",일반CU,0.0,올해(20k),0,0,0,2189,850,3039,3039,0,5460
명진산업,AJR73965607-19-1,"Tube,Connector",일반CU,0.0,올해(20k),0,0,0,1581,649,2230,2230,0,3899
명진산업,AJR73965607-19-2,"Tube,Connector",일반CU,0.0,올해(20k),0,0,0,2189,850,3039,3039,0,5460
명진산업,AJR75645201-19-1,"Tube,Connector",일반CU,0.0,올해(20k),0,0,0,887,183,1070,1070,0,1838
명진산업,AJR75645201-19-2,"Tube,Connector",일반CU,0.0,올해(20k),0,0,0,752,134,886,886,0,1351
명진산업,AJR75645201-19-3,"Tube,Connector",일반CU,0.0,올해(20k),0,0,0,902,134,1036,1036,0,1608
