구분,P/N,협력사,엑셀중량,기하중량/비교,외경,두께,길이,배수/비고
②시트간스펙충돌,MJU64287009,케이비,,,,,,케이비:Φ9.52 T0.65 L48.0 | 케이비:Φ9.52 T0.65 L48.0 | 케이비:Φ9.52 T0.65 L50.0 | 케이비:Φ9.52 T0.65 L48.0 | 케이비:Φ9.52 T0.65 L50.0 | 케이비:Φ9.52 T0.65 L50.0 | 케이비:Φ9.52 T0.65 L50.0 | 케이비:Φ9.52 T0.65 L49.0
②시트간스펙충돌,5210A26795A,케이비,,,,,,케이비:Φ6.35 T0.65 L110.0 | 케이비:Φ6.35 T0.65 L90.0
②시트간스펙충돌,5210A26795B,케이비,,,,,,케이비:Φ6.35 T0.65 L97.0 | 케이비:Φ6.35 T0.65 L87.0
②시트간스펙충돌,5210A26795C,케이비,,,,,,케이비:Φ6.35 T0.65 L78.0 | 케이비:Φ6.35 T0.65 L83.0
②시트간스펙충돌,5210A26795D,케이비,,,,,,케이비:Φ6.35 T0.65 L90.0 | 케이비:Φ6.35 T0.65 L106.0
②시트간스펙충돌,5210A26795E,케이비,,,,,,케이비:Φ6.35 T0.65 L98.0 | 케이비:Φ6.35 T0.65 L110.0
②시트간스펙충돌,5210A26795F,케이비,,,,,,케이비:Φ6.35 T0.65 L106.0 | 케이비:Φ6.35 T0.65 L120.0
②시트간스펙충돌,MJU60436413,케이비,,,,,,케이비:Φ12.7 T0.75 L113.0 | 케이비:Φ12.7 T0.75 L115.0
②시트간스펙충돌,MJU62921203,케이비,,,,,,케이비:Φ4.76 T0.65 L324.0 | 케이비:Φ4.76 T0.65 L340.0
②시트간스펙충돌,MJU62921204,케이비,,,,,,케이비:Φ4.76 T0.65 L377.0 | 케이비:Φ4.76 T0.65 L380.0
②시트간스펙충돌,MJU62922201,케이비,,,,,,케이비:Φ6.35 T0.65 L127.0 | 케이비:Φ6.35 T0.65 L130.0
②시트간스펙충돌,MJU66480602,케이비,,,,,,케이비:Φ9.52 T1.45 L432.0 | 케이비:Φ9.52 T1.45 L410.0
②시트간스펙충돌,MJU66480703,케이비,,,,,,케이비:Φ9.52 T1.45 L121.0 | 케이비:Φ9.52 T1.45 L122.0
