도번,LG부품,LG품명,매핑 자도번,상태,← 담당확정(수정시)
AJJ74578325,3H01582B,Tie,,미매핑,
AJJ75178301,AJR75744102,"Tube Assembly,Suction(Ou",,미매핑,
AJJ75318301,3H00815J,Expendables_,,미매핑,
AJJ75318301,3H01582D,Tie,,미매핑,
AJJ75318301,MJX65116803,"Valve,Service",,미매핑,
AJJ75358401,AJJ73898630,Supporter Assembly,,미매핑,
AJJ75358404,AJJ73898630,Supporter Assembly,,미매핑,
AJJ75358421,EAP63107118,"Coil,Expansion",,미매핑,
AJJ75358421,EAP63107119,"Coil,Expansion",,미매핑,
AJJ75358425,AJJ73898630,Supporter Assembly,,미매핑,
AJJ75358426,AJJ73898630,Supporter Assembly,,미매핑,
AJJ75358426,EAP63107118,"Coil,Expansion",,미매핑,
AJJ75358426,EAP63107119,"Coil,Expansion",,미매핑,
AJJ75358427,AJJ73898630,Supporter Assembly,,미매핑,
AJJ75358428,AJJ73898630,Supporter Assembly,,미매핑,
AJJ75358428,AJR74803522,"Tube Assembly,Condenser(",,미매핑,
AJJ75358441,AJR75744140,"Tube Assembly,Suction(Ou",,미매핑,
AJJ75838620,AJJ73898630,Supporter Assembly,,미매핑,
AJJ75918509,AJR72946503,"Tube Assembly,Suction(Ou",,미매핑,
AJJ75918509,AJR75104017,"Tube Assembly,Expansion",,미매핑,
AJJ75918512,MJX63932317,"Valve,Service",,미매핑,
AJJ75918512,RAC30599303,Solder Soldering,,미매핑,
AJJ76318301,MJX65116803,"Valve,Service",,미매핑,
AJJ76418701,3H00815J,Expendables_,,미매핑,
AJJ76418702,3H00815J,Expendables_,,미매핑,
AJJ76418703,3H00815J,Expendables_,,미매핑,
AJJ76418704,3H00815J,Expendables_,,미매핑,
AJJ76418705,3H00815J,Expendables_,,미매핑,
AJJ76418706,3H00815J,Expendables_,,미매핑,
AJJ76418707,3H00815J,Expendables_,,미매핑,
AJJ76418713,3H00815J,Expendables_,,미매핑,
AJJ76418713,5220A20034C,"Valve,Service",,미매핑,
AJJ76418713,MJX62254001,"Valve,Service",,미매핑,
AJJ76418714,3H00815J,Expendables_,,미매핑,
AJJ76418714,MJX62254001,"Valve,Service",,미매핑,
AJJ76418715,3H00815J,Expendables_,,미매핑,
AJJ76418716,3H00815J,Expendables_,,미매핑,
AJJ76418716,MJX62254101,"Valve,Service",,미매핑,
AJJ76418717,3H00815J,Expendables_,,미매핑,
AJJ76418717,5220A20034C,"Valve,Service",,미매핑,
AJJ76418717,MJX62254001,"Valve,Service",,미매핑,
AJJ76418718,3H00815J,Expendables_,,미매핑,
AJJ76418718,5220A20034C,"Valve,Service",,미매핑,
AJJ76418718,MJX62254001,"Valve,Service",,미매핑,
AJJ76418719,3H00815J,Expendables_,,미매핑,
AJJ76418719,MJX62254001,"Valve,Service",,미매핑,
AJJ76418720,3H00815J,Expendables_,,미매핑,
AJJ76418721,3H00815J,Expendables_,,미매핑,
AJJ76418722,3H00815J,Expendables_,,미매핑,
AJJ76418723,3H00815J,Expendables_,,미매핑,
AJJ76418724,3H00815J,Expendables_,,미매핑,
AJJ76418724,MJU66478104,"Tube,Connector",,미매핑,
AJJ76418725,3H00815J,Expendables_,,미매핑,
AJJ76418727,3H00815J,Expendables_,,미매핑,
AJJ76418728,3H00815J,Expendables_,,미매핑,
AJJ76418729,3H00815J,Expendables_,,미매핑,
AJJ76559001,RAC30599301,Solder Soldering,,미매핑,
AJJ76559002,RAC30599301,Solder Soldering,,미매핑,
AJJ76559003,RAC30599301,Solder Soldering,,미매핑,
AJJ76559004,RAC30599301,Solder Soldering,,미매핑,
AJJ76559005,RAC30599301,Solder Soldering,,미매핑,
AJJ76559006,MJU66478104,"Tube,Connector",,미매핑,
AJJ76559006,RAC30599301,Solder Soldering,,미매핑,
AJJ76559007,RAC30599301,Solder Soldering,,미매핑,
AJJ76559008,RAC30599301,Solder Soldering,,미매핑,
AJJ76559009,RAC30599301,Solder Soldering,,미매핑,
AJJ76559010,RAC30599301,Solder Soldering,,미매핑,
AJJ76559011,RAC30599301,Solder Soldering,,미매핑,
AJJ76559012,RAC30599301,Solder Soldering,,미매핑,
AJJ76559013,RAC30599301,Solder Soldering,,미매핑,
AJJ76559014,RAC30599301,Solder Soldering,,미매핑,
AJJ76559015,RAC30599301,Solder Soldering,,미매핑,
AJJ76559016,RAC30599301,Solder Soldering,,미매핑,
AJJ76559017,RAC30599301,Solder Soldering,,미매핑,
AJJ76559102,RAC30599301,Solder Soldering,,미매핑,
AJJ76559103,RAC30599301,Solder Soldering,,미매핑,
AJJ76559105,MJX62254001,"Valve,Service",,미매핑,
AJJ76559105,MJX62254101,"Valve,Service",,미매핑,
AJJ76559105,RAC30599301,Solder Soldering,,미매핑,
AJJ76559106,RAC30599301,Solder Soldering,,미매핑,
AJJ76595403,AJJ76595404,Supporter Assembly,,미매핑,
AJJ76595403,AJR30059704,"Tube Assembly,Expansion",,미매핑,
AJJ76602101,3H01582D,Tie,,미매핑,
AJJ76602101,MJX63932302,"Valve,Service",,미매핑,
AJL75092114,1SBF0402418,"Screw,Taptite",,미매핑,
AJL75092114,3H01582B,Tie,,미매핑,
AJR30001401,4H00049A,"Tube,Pinch Off",,미매핑,
AJR30001401,5210A23089A,"Tube,Pinch Off",,미매핑,
AJR30001401,RAC30599301,Solder Soldering,,미매핑,
AJR30001601,RAC30599303,Solder Soldering,,미매핑,
AJR30003301,RAC30599301,Solder Soldering,,미매핑,
AJR30004702,3A00375B,"Socket,Flare",,미매핑,
AJR30004702,4930A20053A,"Holder,Sensor",,미매핑,
AJR30004702,MJU00697402,"Tube,Manifold",,미매핑,
AJR30004702,MJU00697501,"Tube,Connector",,미매핑,
AJR30004702,MJU00697502,"Tube,Connector",,미매핑,
AJR30004702,RAC30599303,Solder Soldering,,미매핑,
AJR30004702,RAC30599327,Solder Soldering,,미매핑,
AJR30007101,3H01582D,Tie,,미매핑,
AJR30007101,4930A20053A,"Holder,Sensor",,미매핑,
AJR30007101,5210A22409A,"Tube,Connector",,미매핑,
AJR30007101,MJU66760104,"Tube,Connector",,미매핑,
AJR30007101,RAC30599301,Solder Soldering,,미매핑,
AJR30007102,3H01582D,Tie,,미매핑,
AJR30007102,4930A20053A,"Holder,Sensor",,미매핑,
AJR30007102,5210A22409A,"Tube,Connector",,미매핑,
AJR30007102,5210A22409B,"Tube,Connector",,미매핑,
AJR30007102,MJU64433003,"Tube,Return Bending",,미매핑,
AJR30007102,MJU66573301,"Tube,Connector",,미매핑,
AJR30007102,MJU66760002,"Tube,Connector",,미매핑,
AJR30007102,MJU66760003,"Tube,Connector",,미매핑,
AJR30007102,MJU66760004,"Tube,Connector",,미매핑,
AJR30007102,MJU66760102,"Tube,Connector",,미매핑,
AJR30007102,MJX62771713,"Valve,Check",,미매핑,
AJR30007102,RAC30599301,Solder Soldering,,미매핑,
AJR30007103,3H01582D,Tie,,미매핑,
AJR30007103,4930A20053A,"Holder,Sensor",,미매핑,
AJR30007103,5210A22409A,"Tube,Connector",,미매핑,
AJR30007103,5210A22409B,"Tube,Connector",,미매핑,
AJR30007103,MJU64671101,"Tube,Connector",,미매핑,
AJR30007103,MJU64671102,"Tube,Connector",,미매핑,
AJR30007103,MJU64671103,"Tube,Connector",,미매핑,
AJR30007103,MJU64671104,"Tube,Connector",,미매핑,
AJR30007103,MJU64671105,"Tube,Connector",,미매핑,
AJR30007103,MJU64671109,"Tube,Connector",,미매핑,
AJR30007103,MJU66571301,"Tube,Connector",,미매핑,
AJR30007103,MJU66571302,"Tube,Connector",,미매핑,
AJR30007103,MJU66571304,"Tube,Connector",,미매핑,
AJR30007103,MJU66571305,"Tube,Connector",,미매핑,
AJR30007103,MJU66571306,"Tube,Connector",,미매핑,
AJR30007103,MJX62771713,"Valve,Check",,미매핑,
AJR30007103,RAC30599301,Solder Soldering,,미매핑,
AJR30007104,3H01582B,Tie,,미매핑,
AJR30007104,3H01582D,Tie,,미매핑,
AJR30007104,4930A20053A,"Holder,Sensor",,미매핑,
AJR30007104,MJU64671101,"Tube,Connector",,미매핑,
AJR30007104,MJU64671102,"Tube,Connector",,미매핑,
AJR30007104,MJU64671104,"Tube,Connector",,미매핑,
AJR30007104,MJU64671105,"Tube,Connector",,미매핑,
AJR30007104,MJU64671109,"Tube,Connector",,미매핑,
AJR30007104,MJU66571302,"Tube,Connector",,미매핑,
AJR30007104,MJU66571305,"Tube,Connector",,미매핑,
AJR30007104,MJU66571306,"Tube,Connector",,미매핑,
AJR30007104,MJX62771713,"Valve,Check",,미매핑,
AJR30007104,RAC30599301,Solder Soldering,,미매핑,
AJR30007105,3H01582B,Tie,,미매핑,
AJR30007105,3H01582D,Tie,,미매핑,
AJR30007105,4930A20053A,"Holder,Sensor",,미매핑,
AJR30007105,5210A22409A,"Tube,Connector",,미매핑,
AJR30007105,5210A22409B,"Tube,Connector",,미매핑,
AJR30007105,MJU64671101,"Tube,Connector",,미매핑,
AJR30007105,MJU64671102,"Tube,Connector",,미매핑,
AJR30007105,MJU64671104,"Tube,Connector",,미매핑,
AJR30007105,MJU64671105,"Tube,Connector",,미매핑,
AJR30007105,MJU64671109,"Tube,Connector",,미매핑,
AJR30007105,MJU66571301,"Tube,Connector",,미매핑,
AJR30007105,MJU66571302,"Tube,Connector",,미매핑,
AJR30007105,MJU66571304,"Tube,Connector",,미매핑,
AJR30007105,MJU66571305,"Tube,Connector",,미매핑,
AJR30007105,MJU66571306,"Tube,Connector",,미매핑,
AJR30007105,MJX62771713,"Valve,Check",,미매핑,
AJR30007105,RAC30599301,Solder Soldering,,미매핑,
AJR30007106,3H01582B,Tie,,미매핑,
AJR30007106,3H01582D,Tie,,미매핑,
AJR30007106,4930A20053A,"Holder,Sensor",,미매핑,
AJR30007106,MJX62771713,"Valve,Check",,미매핑,
AJR30007106,RAC30599301,Solder Soldering,,미매핑,
AJR30007601,RAC30599301,Solder Soldering,,미매핑,
AJR30007602,RAC30599301,Solder Soldering,,미매핑,
AJR30007603,RAC30599301,Solder Soldering,,미매핑,
AJR30007603,RAC30599327,Solder Soldering,,미매핑,
AJR30007604,RAC30599301,Solder Soldering,,미매핑,
AJR30008101,3H01582B,Tie,,미매핑,
AJR30008101,RAC30599308,Solder Soldering,,미매핑,
AJR30008201,4H00049A,"Tube,Pinch Off",,미매핑,
AJR30008201,RAC30599301,Solder Soldering,,미매핑,
AJR30008202,RAC30599301,Solder Soldering,,미매핑,
AJR30009001,RAC30599301,Solder Soldering,,미매핑,
AJR30009001,RAC30599327,Solder Soldering,,미매핑,
AJR30009002,RAC30599301,Solder Soldering,,미매핑,
AJR30009003,RAC30599301,Solder Soldering,,미매핑,
AJR30009004,RAC30599301,Solder Soldering,,미매핑,
AJR30009005,RAC30599301,Solder Soldering,,미매핑,
AJR30009401,RAC30599301,Solder Soldering,,미매핑,
AJR30009402,RAC30599301,Solder Soldering,,미매핑,
AJR30009403,RAC30599301,Solder Soldering,,미매핑,
AJR30009701,RAC30599301,Solder Soldering,,미매핑,
AJR30010701,RAC30599301,Solder Soldering,,미매핑,
AJR30010702,RAC30599301,Solder Soldering,,미매핑,
AJR30011101,RAC30599308,Solder Soldering,,미매핑,
AJR30011102,RAC30599308,Solder Soldering,,미매핑,
AJR30012001,3H01582B,Tie,,미매핑,
AJR30012001,4A00609A,Cap,,미매핑,
AJR30012001,EBD60663823,"Sensor,Pressure",,미매핑,
AJR30012001,EBD62165601,"Sensor,Pressure",,미매핑,
AJR30012001,RAC30599301,Solder Soldering,,미매핑,
AJR30012008,3H01582B,Tie,,미매핑,
AJR30012008,4A00609A,Cap,,미매핑,
AJR30012008,MJU66773001,"Tube,Connector",,미매핑,
AJR30012008,RAC30599301,Solder Soldering,,미매핑,
AJR30012008,RAC30599327,Solder Soldering,,미매핑,
AJR30012009,3H01582B,Tie,,미매핑,
AJR30012009,4A00609A,Cap,,미매핑,
AJR30012009,MJU65966728,"Tube,Connector",,미매핑,
AJR30012009,MJU66774606,"Tube,Connector",,미매핑,
AJR30012009,MJU66774607,"Tube,Connector",,미매핑,
AJR30012009,MJX30152802,"Valve,Reverse",,미매핑,
AJR30012009,RAC30599301,Solder Soldering,,미매핑,
AJR30012009,RAC30599327,Solder Soldering,,미매핑,
AJR30012010,3H01582B,Tie,,미매핑,
AJR30012010,4A00609A,Cap,,미매핑,
AJR30012010,MJU65966728,"Tube,Connector",,미매핑,
AJR30012010,MJU66774606,"Tube,Connector",,미매핑,
AJR30012010,MJU66774607,"Tube,Connector",,미매핑,
AJR30012010,MJX30152802,"Valve,Reverse",,미매핑,
AJR30012010,RAC30599301,Solder Soldering,,미매핑,
AJR30012010,RAC30599327,Solder Soldering,,미매핑,
AJR30012011,3H01582B,Tie,,미매핑,
AJR30012011,4A00609A,Cap,,미매핑,
AJR30012011,MJU65966728,"Tube,Connector",,미매핑,
AJR30012011,MJU66774606,"Tube,Connector",,미매핑,
AJR30012011,MJU66774607,"Tube,Connector",,미매핑,
AJR30012011,MJX30152802,"Valve,Reverse",,미매핑,
AJR30012011,RAC30599301,Solder Soldering,,미매핑,
AJR30012011,RAC30599327,Solder Soldering,,미매핑,
AJR30012012,3H01582B,Tie,,미매핑,
AJR30012012,4A00609A,Cap,,미매핑,
AJR30012012,MJU66773001,"Tube,Connector",,미매핑,
AJR30012012,RAC30599301,Solder Soldering,,미매핑,
AJR30012012,RAC30599327,Solder Soldering,,미매핑,
AJR30012013,4A00609A,Cap,,미매핑,
AJR30012013,RAC30599301,Solder Soldering,,미매핑,
AJR30012013,RAC30599327,Solder Soldering,,미매핑,
AJR30012014,3H01582B,Tie,,미매핑,
AJR30012014,4A00609A,Cap,,미매핑,
AJR30012014,RAC30599301,Solder Soldering,,미매핑,
AJR30012014,RAC30599327,Solder Soldering,,미매핑,
AJR30012101,3H00815J,Expendables_,,미매핑,
AJR30012101,3H01582B,Tie,,미매핑,
AJR30012101,4930A20053A,"Holder,Sensor",,미매핑,
AJR30012102,3H00815J,Expendables_,,미매핑,
AJR30012102,3H01582B,Tie,,미매핑,
AJR30012102,4930A20053A,"Holder,Sensor",,미매핑,
AJR30019401,RAC30599301,Solder Soldering,,미매핑,
AJR30019402,RAC30599301,Solder Soldering,,미매핑,
AJR30019801,3H01582B,Tie,,미매핑,
AJR30019801,RAC30599301,Solder Soldering,,미매핑,
AJR30020701,4H00049A,"Tube,Pinch Off",,미매핑,
AJR30020701,RAC30599301,Solder Soldering,,미매핑,
AJR30027701,3H01582B,Tie,,미매핑,
AJR30027701,5224A20005F,Strainer,,미매핑,
AJR30027701,MJU61971306,"Tube,Coupling",,미매핑,
AJR30027701,MJU66749006,"Tube,Connector",,미매핑,
AJR30027701,MJU66749101,"Tube,Connector",,미매핑,
AJR30027701,MJU66800402,"Tube,Connector",,미매핑,
AJR30027701,MJU66800403,"Tube,Connector",,미매핑,
AJR30027701,MJU66800404,"Tube,Connector",,미매핑,
AJR30027701,RAC30599301,Solder Soldering,,미매핑,
AJR30027703,3H01582B,Tie,,미매핑,
AJR30027703,MJU30514504,"Tube,Coupling",,미매핑,
AJR30027703,MJU66749301,"Tube,Connector",,미매핑,
AJR30027703,RAC30599301,Solder Soldering,,미매핑,
AJR30027705,3H01582B,Tie,,미매핑,
AJR30027705,5211A22074A,"Tube Assembly,Connector",,미매핑,
AJR30027705,5224A20005F,Strainer,,미매핑,
AJR30027705,MJU61971306,"Tube,Coupling",,미매핑,
AJR30027705,MJU66749006,"Tube,Connector",,미매핑,
AJR30027705,MJU66749101,"Tube,Connector",,미매핑,
AJR30027705,MJU66800403,"Tube,Connector",,미매핑,
AJR30027705,MJU66800404,"Tube,Connector",,미매핑,
AJR30027705,MJU66800405,"Tube,Connector",,미매핑,
AJR30027705,RAC30599301,Solder Soldering,,미매핑,
AJR30027707,3H01582B,Tie,,미매핑,
AJR30027707,5211A22074A,"Tube Assembly,Connector",,미매핑,
AJR30027707,MJU30514504,"Tube,Coupling",,미매핑,
AJR30027707,MJU66749301,"Tube,Connector",,미매핑,
AJR30027707,RAC30599301,Solder Soldering,,미매핑,
AJR30027710,3H01582B,Tie,,미매핑,
AJR30027710,5211A22074A,"Tube Assembly,Connector",,미매핑,
AJR30027710,5224A20005F,Strainer,,미매핑,
AJR30027710,MJU61971306,"Tube,Coupling",,미매핑,
AJR30027710,MJU66749006,"Tube,Connector",,미매핑,
AJR30027710,MJU66749101,"Tube,Connector",,미매핑,
AJR30027710,MJU66800403,"Tube,Connector",,미매핑,
AJR30027710,MJU66800404,"Tube,Connector",,미매핑,
AJR30027710,MJU66800405,"Tube,Connector",,미매핑,
AJR30027712,3H01582B,Tie,,미매핑,
AJR30027712,5211A22074A,"Tube Assembly,Connector",,미매핑,
AJR30027712,MJU30514504,"Tube,Coupling",,미매핑,
AJR30027712,MJU66749301,"Tube,Connector",,미매핑,
AJR30027713,3H01582B,Tie,,미매핑,
AJR30027713,5224A20005F,Strainer,,미매핑,
AJR30027713,MJU61971306,"Tube,Coupling",,미매핑,
AJR30027713,MJU66749006,"Tube,Connector",,미매핑,
AJR30027713,MJU66749101,"Tube,Connector",,미매핑,
AJR30027713,MJU66800402,"Tube,Connector",,미매핑,
AJR30027713,MJU66800403,"Tube,Connector",,미매핑,
AJR30027713,MJU66800404,"Tube,Connector",,미매핑,
AJR30027713,RAC30599301,Solder Soldering,,미매핑,
AJR30027715,3H01582B,Tie,,미매핑,
AJR30027715,MJU30514504,"Tube,Coupling",,미매핑,
AJR30027715,MJU66749301,"Tube,Connector",,미매핑,
AJR30027715,RAC30599301,Solder Soldering,,미매핑,
AJR30028409,MHT54371601,"Socket,Flare",,미매핑,
AJR30028409,RAC30599309,Solder Soldering,,미매핑,
AJR30028411,RAC30599301,Solder Soldering,,미매핑,
AJR30028411,RAC30599309,Solder Soldering,,미매핑,
AJR30029801,RAC30599301,Solder Soldering,,미매핑,
AJR30029802,RAC30599301,Solder Soldering,,미매핑,
AJR30029901,RAC30599301,Solder Soldering,,미매핑,
AJR30030101,RAC30599301,Solder Soldering,,미매핑,
AJR30030103,RAC30599301,Solder Soldering,,미매핑,
AJR30031101,RAC30599301,Solder Soldering,,미매핑,
AJR30031102,RAC30599301,Solder Soldering,,미매핑,
AJR30031201,RAC30599301,Solder Soldering,,미매핑,
AJR30031202,RAC30599301,Solder Soldering,,미매핑,
AJR30031601,RAC30599301,Solder Soldering,,미매핑,
AJR30031701,RAC30599301,Solder Soldering,,미매핑,
AJR30031801,3H00815G,Expendables_,,미매핑,
AJR30031801,RAC30599301,Solder Soldering,,미매핑,
AJR30031804,3H00815G,Expendables_,,미매핑,
AJR30031804,RAC30599301,Solder Soldering,,미매핑,
AJR30031804,RAC35117410,Solder Soldering,,미매핑,
AJR30033101,3H01582B,Tie,,미매핑,
AJR30033101,3H01582D,Tie,,미매핑,
AJR30033101,EBD64386506,"Sensor Module,Pressure",,미매핑,
