도번,LG부품,LG품명,역할,← 담당: LG맞음/레거시대응코드/신규추가
AJR73767514,FAB30208603,"Screw,Customized",체결부자재,
AJR73767802,4A00322A,"Valve,Check",완성부품,
AJR73767802,4A00609A,Cap,완성부품,
AJR73767802,5210A30334L,"Tube,Pinch Off",제작동관,
AJR73767812,5210A30334L,"Tube,Pinch Off",제작동관,
AJR73767818,5210A30334L,"Tube,Pinch Off",제작동관,
AJR73767818,EBD62165601,"Sensor,Pressure",전장부품,
AJR73767821,4A00322A,"Valve,Check",완성부품,
AJR73767821,4A00609A,Cap,완성부품,
AJR73767821,5210A30334L,"Tube,Pinch Off",제작동관,
AJR73768805,3H00815J,Expendables_,용접봉,
AJR73786307,1SDTF040267,"Screw,Taptite",체결부자재,
