도번,LG부품,LG품명,역할,← 담당: LG맞음/레거시대응코드/신규추가
AJR72367702,MJU61721901,"Tube,Connector",제작동관,
AJR72367702,MJU61721901,"Tube,Connector",제작동관,
AJR72367706,49112009,Expendables_,용접봉,
AJR72572908,4A00322A,"Valve,Check",완성부품,
AJR72572908,4A00609A,Cap,완성부품,
AJR72914501,3H00815J,Expendables_,용접봉,
AJR72914508,3H00815J,Expendables_,용접봉,
AJR72914508,3H00815J,Expendables_,용접봉,
AJR72914511,3H00815J,Expendables_,용접봉,
AJR72914511,3H00815J,Expendables_,용접봉,
AJR72919805,3H00815J,Expendables_,용접봉,
AJR72920407,3H00815J,Expendables_,용접봉,
AJR72928401,5210A22841A,"Tube,Coupling",반제품,
AJR72928401,5410A30184N,Insulator,단열재,
AJR72928401,MJU61885601,"Tube,Connector",제작동관,
AJR72928402,5210A22841A,"Tube,Coupling",반제품,
AJR72928402,5410A30184N,Insulator,단열재,
AJR72928402,MJU61885601,"Tube,Connector",제작동관,
AJR72929512,3H00815J,Expendables_,용접봉,
AJR72929515,3H00815J,Expendables_,용접봉,
AJR72937701,3H01582B,Tie,완성부품,
AJR72937701,MEV39836107,Insulator,단열재,
AJR72942401,3H00815J,Expendables_,용접봉,
AJR72946403,5410A30279A,"Insulator,Tube",단열재,
AJR72946403,MJX62253901,"Valve,Service",완성부품,
AJR72946422,53402025,"Tape,Filament",포장재,
AJR72946422,MJX42581402,"Valve,Service",완성부품,
AJR72946422,MJX42581602,"Valve,Service",완성부품,
AJR72946424,MJX42581402,"Valve,Service",완성부품,
AJR72946424,MJX42581602,"Valve,Service",완성부품,
AJR72946603,3H00815J,Expendables_,용접봉,
AJR72946801,4A00322A,"Valve,Check",완성부품,
AJR72946801,4A00609A,Cap,완성부품,
AJR72946802,4A00322A,"Valve,Check",완성부품,
AJR72946802,4A00609A,Cap,완성부품,
AJR72946805,4A00322A,"Valve,Check",완성부품,
AJR72946805,4A00609A,Cap,완성부품,
AJR72946806,4A00322A,"Valve,Check",완성부품,
AJR72946806,4A00609A,Cap,완성부품,
AJR72952503,MJU62097401,"Tube,Connector",제작동관,
AJR72952603,3H01582D,Tie,완성부품,
AJR72952603,MJU62097401,"Tube,Connector",제작동관,
AJR72953103,3H00815J,Expendables_,용접봉,
AJR72953201,5040A20027E,Damper,완성부품,
AJR72953201,5040A20027F,Damper,완성부품,
AJR72953201,5040A20027G,Damper,완성부품,
AJR72953301,3H00815J,Expendables_,용접봉,
AJR72954601,3H00815J,Expendables_,용접봉,
AJR72954601,5410A30055D,"Insulator,Tube",단열재,
AJR72954601,EBD62165601,"Sensor,Pressure",전장부품,
AJR72954701,3H00815J,Expendables_,용접봉,
AJR72954801,MJU53401202,"Tube,Connector",제작동관,
AJR72957301,MEV47266604,Insulator,단열재,
AJR72957305,5210A22841A,"Tube,Coupling",반제품,
AJR72957305,MEV47266604,Insulator,단열재,
AJR72961302,3H00815J,Expendables_,용접봉,
AJR73005001,3H00815J,Expendables_,용접봉,
AJR73005505,3H00815J,Expendables_,용접봉,
AJR73023302,3H00815J,Expendables_,용접봉,
AJR73023304,3H00815J,Expendables_,용접봉,
AJR73023304,5410A30262C,"Insulator,Tube",단열재,
AJR73023306,3H00815J,Expendables_,용접봉,
AJR73023601,MJU62030601,"Tube,Connector",제작동관,
AJR73023601,MJU62030701,"Tube,Connector",제작동관,
AJR73023801,3H00815J,Expendables_,용접봉,
AJR73023801,MAZ61902210,Bracket,반제품,
AJR73043202,3H00815J,Expendables_,용접봉,
AJR73062401,2H00351S,"Tube,Distributor",매입동관,
AJR73062401,3H00815J,Expendables_,용접봉,
AJR73065501,3H00815J,Expendables_,용접봉,
AJR73065501,49112009,Expendables_,용접봉,
AJR73065601,3H00815J,Expendables_,용접봉,
AJR73065601,49112009,Expendables_,용접봉,
AJR73067004,3H00815H,Expendables_,용접봉,
AJR73067005,3H00815H,Expendables_,용접봉,
AJR73067005,3H00815H,Expendables_,용접봉,
AJR73069701,49112009,Expendables_,용접봉,
AJR73103101,3H00815J,Expendables_,용접봉,
AJR73103102,3H00815J,Expendables_,용접봉,
AJR73182701,49112006,Expendables_,용접봉,
AJR73204003,3H00815J,Expendables_,용접봉,
AJR73204003,MJX39414110,"Valve,Check",완성부품,
AJR73204004,3H00815J,Expendables_,용접봉,
AJR73222701,4A00322A,"Valve,Check",완성부품,
AJR73222701,EBD60663823,"Sensor,Pressure",전장부품,
AJR73222701,EBD62165601,"Sensor,Pressure",전장부품,
AJR73222701,MBL53366901,Cap,완성부품,
AJR73222702,4A00322A,"Valve,Check",완성부품,
AJR73222702,EBD60663823,"Sensor,Pressure",전장부품,
AJR73222702,EBD62165601,"Sensor,Pressure",전장부품,
AJR73222702,MBL53366901,Cap,완성부품,
AJR73224001,MJU61889108,"Tube,Distributor",매입동관,
AJR73224001,MJU62266801,"Tube,Connector",제작동관,
AJR73324406,3H00815J,Expendables_,용접봉,
AJR73326630,3H00815J,Expendables_,용접봉,
AJR73342803,3H00815J,Expendables_,용접봉,
AJR73383001,4H00049A,"Tube,Pinch Off",제작동관,
AJR73383001,5410A30055R,"Insulator,Tube",단열재,
AJR73383004,5410A30055R,"Insulator,Tube",단열재,
AJR73562802,EBD60663823,"Sensor,Pressure",전장부품,
AJR73562802,EBD62165601,"Sensor,Pressure",전장부품,
AJR73562802,EBE60661401,Solenoid,반제품,
AJR73564001,3H00815J,Expendables_,용접봉,
AJR73583302,EBD62165601,"Sensor,Pressure",전장부품,
AJR73682802,3H00815J,Expendables_,용접봉,
AJR73682803,3H00815J,Expendables_,용접봉,
AJR73682805,3H00815J,Expendables_,용접봉,
AJR73703801,4A00322A,"Valve,Check",완성부품,
AJR73703801,EBD60663823,"Sensor,Pressure",전장부품,
AJR73703801,EBD62165601,"Sensor,Pressure",전장부품,
AJR73767304,AJR74488601,"Tube Assembly,Capillary",반제품,
AJR73767304,EBD60663823,"Sensor,Pressure",전장부품,
AJR73767306,EAP62126401,"Coil,Expansion",판재강판,
AJR73767314,EAP62126401,"Coil,Expansion",판재강판,
AJR73767314,EBD60663823,"Sensor,Pressure",전장부품,
AJR73767318,EAP62126401,"Coil,Expansion",판재강판,
AJR73767318,EBD60663823,"Sensor,Pressure",전장부품,
