품번,견적유형(Assy/하위),최근생산월,생산건수
AJR30077802-SUB,,,
AJR30077901,,,
AJR30077901-은납,,,
AJR30078601,,,
AJR30078702,,,
AJR30079201,,,
AJR30079301,,,
AJR30079401,,,
AJR30083101,,,
AJR30083102,,,
AJR30086101,,,
AJR30086102,,,
AJR30086201,,,
AJR30087001,,,
AJR30087002,,,
AJR30087301,,,
AJR30087401,,,
AJR30089608,,,
AJR30089609,,,
AJR30089610,,,
AJR30089611,,,
AJR30089612,,,
AJR30089614,,,
AJR30089615,,,
AJR30089616,,,
AJR30089617,,,
AJR30089619,,,
AJR30089620,,,
AJR30089621,,,
AJR30095101,,,
AJR30095101-SUB,,,
AJR30099601,,,
AJR30100101,,,
AJR30100101-은납,,,
AJR30101601,,,
AJR30101601-은납,,,
AJR30102201,,,
AJR30102601,,,
AJR30102602,,,
AJR30103101,,,
AJR30103201,,,
AJR30103301,,,
AJR30103401,,,
AJR30105801,,,
AJR30106101,,,
AJR30106101-SOCKET,,,
AJR30107701,,,
AJR30107701-은납,,,
AJR30107702,,,
AJR30107702-은납,,,
AJR30114001,,,
AJR30114001-은납,,,
AJR30116401,,,
AJR30117401,,,
AJR30117902,,,
AJR30117902-SUB,,,
AJR30118201,,,
AJR30118401,,,
AJR30120101,,,
AJR30120101-SUB,,,
AJR30120401,,,
AJR30120801,,,
AJR30122601,,,
AJR30122602,,,
AJR30123001,,,
AJR30123001-SOCKET,,,
AJR30123401,Assy,,
AJR30125601,,,
AJR30125602,,,
AJR30125603,,,
AJR30133302,,,
AJR30133601,,,
AJR30133601-SUB,,,
AJR30133602,,,
AJR30133603,,,
AJR30133603-SUB,,,
AJR30133603-SUB-1,,,
AJR30133603-SUB-2,,,
AJR30133603-SUB-3,,,
AJR30133604,,,
AJR30133605,,,
AJR30133605-SUB,,,
AJR30133608,,,
AJR30133608-SUB,,,
AJR30133608-SUB-1,,,
AJR30133608-SUB-2,,,
AJR30133608-SUB-3,,,
AJR30133701,,,
AJR30133702,,,
AJR30133703,,,
AJR30133707,,,
AJR30138101,,,
AJR30138102,,,
AJR30138103,,,
AJR30138104,,,
AJR30138201,,,
AJR30138202,,,
AJR30138203,,,
AJR30138301,,,
AJR30138302,,,
AJR30140101,,,
AJR30140102,,,
AJR30140103,,,
AJR30140104,,,
AJR30140105,,,
AJR30140106,,,
AJR30140201,,,
AJR30140202,,,
AJR30140203,,,
AJR30140204,,,
AJR30140205,,,
AJR30140301,,,
AJR30140302,,,
AJR30157301,,,
AJR30157801,,,
AJR30359401,,,
AJR30359801,,,
AJR30360101,,,
AJR30360101-고압,,,
AJR30360101-저압,,,
AJR32563602,,,
AJR32563602-고압,,,
AJR32563602-저압,,,
AJR32674708,,,
AJR32674713,,,
AJR32674713-은납,,,
AJR32674714,,,
AJR32674714-은납,,,
AJR32883901,,,
AJR32883901-은납,,,
AJR32883902,,,
AJR32883902-은납,,,
AJR32883903,,,
AJR32883905,,,
AJR32883905-SUB,,,
AJR32883906,,,
AJR32883908,,,
AJR32883908-은납,,,
AJR32883911,,,
AJR32883911-은납,,,
AJR33796503,,,
AJR33796503-SUB,,,
AJR33796512,,,
AJR33796512-은납,,,
AJR33796513,,,
AJR33796513-은납,,,
AJR34511808,,,
AJR34565827,,,
AJR34739801,,,
AJR34739821,,,
AJR36089801,,,
AJR36092105,,,
AJR36137805,Assy,,
AJR36386808,,,
AJR36388502,,,
AJR36388606,,,
AJR36388608,,,
AJR36479502,,,
AJR36479508,,,
AJR36479516,,,
AJR36479521,Assy,,
AJR36541603,,,
AJR36541603-SUB1,,,
AJR36608601,,,
AJR36618620,,,
AJR36618623,,,
AJR36852202,,,
AJR36852202-SUB,,,
AJR36852203,,,
AJR36852203-SUB,,,
AJR36852211,,,
AJR36852211-은납,,,
AJR36852701,,,
AJR36852701-SUB,,,
AJR37039701,,,
AJR37039701-은납,,,
AJR37039702,,,
AJR37039706,,,
AJR37039706-은납,,,
AJR37042101,,,
AJR37042101-SUB,,,
AJR37119901,,,
AJR52676202,,,
AJR52676202-은납,,,
AJR52676207,,,
AJR52676207-은납,,,
AJR52676212,,,
AJR52676212-SUB,,,
AJR53980903,,,
AJR53980903-은납,,,
AJR55707009,,,
AJR55707009-은납,,,
AJR55796808,,,
AJR55829111,,,
AJR55829111-은납,,,
AJR55829111-은납(그),,,
AJR55829113,,,
AJR65507613,,,
AJR65507705,Assy,,
AJR65507713,Assy,,
AJR65507715,,,
AJR65507726,Assy,,
AJR67734301,,,
AJR67734301-SUB,,,
AJR68019501,,,
AJR68019501-S6-1,,,
AJR68019506,,,
AJR68019506-S6-1,,,
AJR68019507,,,
AJR68019507-S6-1,,,
AJR69417501,,,
AJR69417505,,,
AJR69417601,,,
AJR71429303,,,
AJR71429415,,,
AJR71433340,,,
AJR71433341,,,
AJR72367603,,,
AJR72367604,,,
AJR72367702,,,
AJR72367706,,,
AJR72572902,,,
AJR72572911,,,
AJR72586221,,,
AJR72586225,Assy,,
AJR72914201,,,
AJR72914201-은납,,,
AJR72914202,,,
AJR72914202-은납,,,
AJR72919802,,,
AJR72922102,,,
AJR72922102-SOCKET,,,
AJR72928103,,,
AJR72928401,,,
AJR72928402,,,
AJR72929301,,,
AJR72929515,,,
AJR72937704,,,
AJR72946805,,,
AJR72952503,,,
AJR72952603,,,
AJR72953201,,,
AJR72953301,Assy,,
AJR72982303,,,
AJR72982303-SUB,,,
AJR72982303-은납,,,
AJR73003001,,,
AJR73023601,,,
AJR73026401,,,
AJR73062401,,,
AJR73062401-SUB,,,
AJR73063201,,,
AJR73063201-S6-1,,,
AJR73063202,,,
AJR73063202-은납,,,
