품번,견적유형(Assy/하위),최근생산월,생산건수
AJR30073602-은납,,,
AJR30073603,,,
AJR30073603-은납,,,
AJR30073604,,,
AJR30073604-은납,,,
AJR30075101,,,
AJR30075401,,,
AJR30077403,,,
AJR30077403-은납,,,
AJR30077802,,,
