품번,종류,경로,원소재,외경,두께,길이,종전원소재비,현재사급가,soyo,종전재료비pu,현재재료비pu,검산오차%
AJR76562804-20-1,SUB,SUB전개,4H00049A,6.35,0.7,112.0,20000.0,20000,1.0,249,249,0.0
AJR76562804-20-1,SUB,SUB전개,MJU65789108,19.05,0.95,397.0,20000.0,20000,1.0,3835,3835,0.0
AJR76562804-20-1,SUB,SUB전개,5210A24677N,7.0,0.65,61.0,20000.0,20000,3.0,141,141,0.0
AJR76562804-20-2,SUB,SUB전개,MJU65789107,19.05,0.95,912.0,20000.0,20000,1.0,8809,8809,0.0
AJR76562804-20-2,SUB,SUB전개,5210A24677N,7.0,0.65,61.0,20000.0,20000,7.0,141,141,0.0
AJR76562804-20-2,SUB,SUB전개,4H00049A,6.35,0.7,112.0,20000.0,20000,1.0,249,249,0.0
AJR76562804-20-2,SUB,SUB전개,MJU65789108,19.05,0.95,397.0,20000.0,20000,1.0,3835,3835,0.0
AJR76562804-20-2,SUB,SUB전개,5210A24677N,7.0,0.65,61.0,20000.0,20000,3.0,141,141,0.0
AJR77170902,ASSY,SUB전개,MJU66766602,6.35,0.55,176.0,13028.0,22000,1.0,205,347,0.0
AJR77170902,ASSY,SUB전개,MJU66500502,6.35,0.55,308.0,13028.0,22000,1.0,360,607,0.0
AJR77170902,ASSY,SUB전개,MJU66500402,6.35,0.55,244.0,13028.0,22000,1.0,285,481,0.0
AJR77170902,ASSY,SUB전개,MJU66500302,6.35,0.55,209.0,13028.0,22000,1.0,244,412,0.0
AJR77170902,ASSY,SUB전개,MJU66500202,6.35,0.55,184.0,13028.0,22000,1.0,215,363,0.0
AJR77170902,ASSY,SUB전개,MJU66499502,6.35,0.55,170.0,13028.0,22000,1.0,198,335,0.0
AJR77170902,ASSY,SUB전개,MJU66499702,6.35,0.55,256.0,13028.0,22000,1.0,299,505,0.0
AJR77170902,ASSY,SUB전개,MJU66499702,6.35,0.55,256.0,22000.0,22000,1.0,505,505,0.0
AJR77170902,ASSY,SUB전개,MJU66499502,6.35,0.55,170.0,22000.0,22000,8.0,335,335,0.0
AJR77170902,ASSY,SUB전개,MJU66500202,6.35,0.55,184.0,22000.0,22000,1.0,363,363,0.0
AJR77170902,ASSY,SUB전개,MJU66500302,6.35,0.55,209.0,22000.0,22000,1.0,412,412,0.0
AJR77170902,ASSY,SUB전개,MJU66500402,6.35,0.55,244.0,22000.0,22000,1.0,481,481,0.0
AJR77170902,ASSY,SUB전개,MJU66500502,6.35,0.55,308.0,22000.0,22000,1.0,607,607,0.0
AJR77170902,ASSY,SUB전개,MJU66766602,6.35,0.55,176.0,22000.0,22000,1.0,347,347,0.0
AJR77182802,ASSY,SUB전개,MJU66467502,6.35,0.55,317.0,13028.0,22000,1.0,370,625,0.0
AJR77182802,ASSY,SUB전개,MJU66467402,6.35,0.55,280.0,13028.0,22000,1.0,327,552,0.0
AJR77182802,ASSY,SUB전개,MJU66467302,6.35,0.55,249.0,13028.0,22000,1.0,291,491,0.0
AJR77182802,ASSY,SUB전개,MJU66467202,6.35,0.55,230.0,13028.0,22000,10.0,268,453,0.0
AJR77182802,ASSY,SUB전개,MJU66467202,6.35,0.55,230.0,13028.0,22000,1.0,268,453,0.0
AJR77182902,ASSY,SUB전개,MJU66466702,6.35,0.55,274.0,13028.0,22000,1.0,320,540,0.0
AJR77182902,ASSY,SUB전개,MJU66466802,6.35,0.55,246.0,13028.0,22000,1.0,287,485,0.0
AJR77182902,ASSY,SUB전개,MJU66466902,6.35,0.55,228.0,13028.0,22000,10.0,266,449,0.0
AJR77182902,ASSY,SUB전개,MJU66467002,6.35,0.55,279.0,13028.0,22000,1.0,326,550,0.0
AJR77188801-20-1,SUB,SUB전개,MJU55479901,15.88,0.95,248.0,7549.0,20000,1.0,746,1976,0.0
AJR77188801-20-1,SUB,SUB전개,MJU66479801,15.88,0.95,330.0,7549.0,20000,1.0,992,2629,0.0
AJR77188802-20-1,SUB,신규역산,MJU66479802,15.88,0.95,367.0,,20000,1.0,,2924,
AJR77188802-20-1,SUB,신규역산,MJU66479901,15.88,0.95,249.0,,20000,1.0,,1984,
AJR77224002-20-1,SUB,SUB전개,MJU66570502,19.05,0.95,521.0,20000.0,20000,1.0,5032,5032,0.0
AJR77224008-20-1,SUB,SUB전개,MJU66570501,19.05,0.95,521.0,20000.0,20000,1.0,5032,5032,0.0
AJR77224008-20-1,SUB,SUB전개,MJU66570001,9.52,0.65,400.0,20000.0,20000,1.0,1295,1295,0.0
AJR77224501-20-1,SUB,SUB전개,MJU66479701,9.52,0.65,171.0,7575.0,20000,1.0,210,554,0.0
AJR77224501-20-1,SUB,SUB전개,MJU66479601,9.52,0.65,114.0,7575.0,20000,1.0,140,369,0.0
AJR77224501-20-1,SUB,SUB전개,MJU66479501,9.52,0.65,203.0,7575.0,20000,1.0,249,657,0.0
AJR77224501-20-1,SUB,SUB전개,MJU66479401,9.52,0.65,267.0,7575.0,20000,1.0,328,865,0.0
