assy,원소재,유형,외경,두께,길이,원소재비,소요량,견적재료비,검산(geom×원),오차%,마커
AJR55707009-1,RAC30599303,용접봉,,,,21100.0,0.00290287,61.250557,,,사급가
AJR55707009-2,MJU47978302,동관,6.35,0.65,156.0,7671.0,1.0,124.54219985219997,124.5,0.0,
AJR77170601/0701,MJU66483302,동관,15.88,0.95,107.0,7549.0,1.0,321.816535589645,321.8,0.0,
AJR77170601/0701,MJU66481501,동관,4.76,0.65,852.0,7941.0,1.0,507.71700383741995,507.6,0.0,
AJR77170601/0701,MJU66481601,동관,4.76,0.65,864.0,7941.0,1.0,514.8679475534399,514.8,0.0,
AJR77170601/0701,MJU66481701,동관,4.76,0.65,864.0,7941.0,1.0,514.8679475534399,514.8,0.0,
AJR77170601/0701,MJU66481801,동관,4.76,0.65,864.0,7941.0,1.0,514.8679475534399,514.8,0.0,
AJR77170601/0701,MJU66481901,동관,4.76,0.65,864.0,7941.0,1.0,514.8679475534399,514.8,0.0,
AJR77170601/0701,MJU66482001,동관,4.76,0.65,864.0,7941.0,1.0,514.8679475534399,514.8,0.0,
AJR77170601/0701,MJU66482101,동관,4.76,0.65,864.0,7941.0,1.0,514.8679475534399,514.8,0.0,
AJR77170601/0701,MJU66482201,동관,4.76,0.65,864.0,7941.0,1.0,514.8679475534399,514.8,0.0,
AJR77170601/0701,MJU66482301,동관,4.76,0.65,864.0,7941.0,1.0,514.8679475534399,514.8,0.0,
AJR77170601/0701,MJU66482401,동관,4.76,0.65,689.0,7941.0,1.0,410.5833516948149,410.5,0.0,
AJR77170601/0701,MJU66482501,동관,4.76,0.65,689.0,7941.0,1.0,410.5833516948149,410.5,0.0,
AJR77170601/0701,MJU66482601,동관,4.76,0.65,689.0,7941.0,1.0,410.5833516948149,410.5,0.0,
AJR77170601/0701,MJU66482701,동관,4.76,0.65,689.0,7941.0,1.0,410.5833516948149,410.5,0.0,
AJR77170701,MJU66483301,동관,15.88,0.95,188.0,7549.0,1.0,565.43466066218,565.4,0.0,
AJR77182701/3101,MJU64948401,동관,15.88,0.95,145.0,7549.0,1.0,436.1065201915751,436.0,0.0,
