code,kind,phi,thick,length,copper_unit_kg,nparts
5210A30866H,부품,9.52,0.65,131.0,0.021216,
5210A30983K,부품,9.52,0.65,78.0,0.012632,
5210A30994B,부품,4.76,0.65,316.0,0.023713,
5210A30994C,부품,4.76,0.65,316.0,0.023713,
5210A30994D,부품,4.76,0.65,316.0,0.023713,
5210A30994H,부품,4.76,0.65,333.0,0.024989,
5210A30994J,부품,4.76,0.65,333.0,0.024989,
5210A30994K,부품,4.76,0.65,334.0,0.025064,
5210A30998B,부품,4.76,0.65,314.0,0.023563,
5210A30998C,부품,4.76,0.65,316.0,0.023713,
5210A30998F,부품,4.76,0.65,333.0,0.024989,
5210A30998G,부품,4.76,0.65,333.0,0.024989,
5210A30999R,부품,9.52,0.65,252.0,0.040812,
5210A31174M,부품,7.94,0.65,222.0,0.029549,
5210A31181F,부품,9.52,0.65,80.0,0.012956,
5210A31181G,부품,9.52,0.65,100.0,0.016195,
5210A31181J,부품,9.52,0.65,110.0,0.017815,
5210A31181N,부품,9.52,0.65,142.0,0.022997,
5210A31545A,부품,7.94,0.65,89.0,0.011846,
5210A31624A,부품,4.76,0.65,128.0,0.009605,
5210A31625A,부품,4.76,0.65,75.0,0.005628,
5210A31626A,부품,4.76,0.65,92.0,0.006904,
5210A31627A,부품,4.76,0.65,238.0,0.01786,
5210A31629A,부품,6.35,0.65,46.0,0.004787,
5210A31630A,부품,6.35,0.65,128.0,0.013321,
5210A31631A,부품,6.35,0.65,107.0,0.011136,
5210A31705A,부품,6.35,0.65,173.0,0.018005,
5210A31705E,부품,6.35,0.65,251.0,0.026122,
5210A31705F,부품,6.35,0.65,178.0,0.018525,
5210A31705G,부품,6.35,0.65,282.0,0.029349,
5210A31909C,부품,9.52,0.65,91.0,0.014738,
5210A31928D,부품,6.35,0.65,124.0,0.012905,
5210A31928F,부품,6.35,0.65,155.0,0.016131,
5210A31939A,부품,6.35,0.7,143.0,0.015887,
5210A32911E,부품,9.52,0.65,49.0,0.007936,
5210A33939A,부품,6.35,0.65,152.0,0.015819,
5210A33939B,부품,6.35,0.65,186.0,0.019358,
5210A33939C,부품,6.35,0.65,163.0,0.016964,
5210A38010A,부품,19.05,0.95,789.0,0.381093,
5210A38011B,부품,19.05,0.95,388.0,0.187407,
5210AP21266G,부품,9.52,0.65,103.0,0.016681,
5210AP3920A,부품,9.52,0.65,188.0,0.030447,
5210AP3920E,부품,9.52,0.65,186.0,0.030123,
5210AP3921A,부품,9.52,0.65,194.0,0.031419,
5210AP3922A,부품,9.52,0.65,144.0,0.023321,
5210AP3922B,부품,9.52,0.65,144.0,0.023321,
5210AP3950M,부품,15.88,0.95,151.0,0.060161,
5210AP3952J,부품,12.7,0.75,423.0,0.106493,
5210AP3953K,부품,12.7,0.75,253.0,0.063694,
5210AP4026A,부품,7.94,0.65,80.0,0.010648,
5210AP4026V,부품,7.94,0.65,75.0,0.009983,
5210AP4026W,부품,7.94,0.65,75.0,0.009983,
5210AP4184A,부품,9.52,0.65,74.0,0.011985,
5210AP7145V,부품,6.35,0.65,487.0,0.050684,
5210AR7078Y,부품,12.7,0.75,110.0,0.027693,
5210AR7078Z,부품,15.88,0.95,702.0,0.279687,
5211A20354J,부품,2.6,0.8,900.0,0.036405,
5211A31546A,부품,7.94,0.65,136.0,0.018102,
5211AP4052A,부품,7.94,0.65,117.0,0.015573,
5211AP4052B,부품,7.0,0.65,109.0,0.012638,
5211AP4052J,부품,7.94,0.65,115.0,0.015307,
5211AP4052K,부품,7.0,0.65,136.0,0.015768,
5211AP4052R,부품,7.0,0.65,145.0,0.016812,
5224A20002W,부품,19.05,0.95,95.0,0.045886,
5256A30003G,부품,50.8,1.75,150.0,0.361676,
5998A20002H-2,부품,15.88,0.95,88.0,0.03506,
AAB73250401,부품,19.05,0.95,296.0,0.14297,
ADQ35725501,부품,19.05,0.95,85.0,0.041056,
AJR30007101-9-5,부품,6.35,0.65,271.0,0.028204,
AJR30007102-9-1,부품,9.52,0.65,327.0,0.052959,
AJR73882504-1-1,부품,6.35,0.65,340.0,0.035385,
AJR75605104,부품,12.7,0.75,267.0,0.067219,
AJR76166401-9-1,부품,9.52,0.65,416.0,0.067372,
CAPILLARY,부품,6.35,0.65,460.0,0.047874,
COND-OUT,부품,9.52,0.65,439.0,0.071097,
DISCHARGE,부품,9.52,0.65,697.0,0.112881,
DISCHARGE-PART1,부품,12.7,0.75,932.0,0.234637,
DISCHARGE-PART2,부품,9.52,0.65,182.0,0.029475,
DISCHARGE-PART3,부품,9.52,0.65,182.0,0.029475,
L-TUBE,부품,19.05,0.95,518.0,0.250198,
MAA63264602-01,부품,19.05,1.2,384.0,0.231048,
MFS62323001,부품,50.8,1.8,300.0,0.743261,
MJU00695801,부품,9.52,1.45,312.0,0.102553,
MJU00697402,부품,15.88,0.75,1082.0,0.344889,
MJU00697501,부품,7.0,0.55,52.0,0.005182,
MJU00697502,부품,7.0,0.55,137.0,0.013652,
MJU00697601,부품,9.52,1.45,292.0,0.095979,
MJU00698701,부품,6.35,0.9,262.0,0.036099,
MJU00698801,부품,4.76,0.65,307.0,0.023038,
MJU00698901,부품,9.52,1.45,106.0,0.034842,
