부모ASSY,부모유형,부모품명,자식ASSY(완제품),자식품명,소요량
AJR73981109,완제품,Tube Assembly,AAB73230901,Accumulator Assembly,1.0
AJR73981109,완제품,Tube Assembly,AJR73663001,"Tube Assembly,Reverse",1.0
AJR73988107-0-3,서브ASSY,사내 SUB,AJR75244301,"Tube Assembly,Suction(Outdoor)",1.0
AJR73988107-S3-3,서브ASSY,사내 SUB,AJR75244301,"Tube Assembly,Suction(Outdoor)",1.0
AJR74062502,완제품,Tube Assembly,AAB73250401,Accumulator Assembly,1.0
AJR74062502,완제품,Tube Assembly,AJR36388606,"Tube Assembly, Expansion",1.0
AJR74062502,완제품,Tube Assembly,AJR73944503,"Tube Assembly,Reverse",1.0
AJR74162602,완제품,Tube Assembly,5224A20002T,Strainer,1.0
AJR74162603,완제품,Tube Assembly,5224A20002T,Strainer,1.0
AJR74162604-S2-1,서브ASSY,사내 SUB,5224A20002T,Strainer,1.0
AJR74265701,완제품,"Tube Assembly,Suction(Outdoor)",AJR74488601,"Tube Assembly,Capillary",1.0
AJR74265702,완제품,"Tube Assembly,Suction(Outdoor)",AJR74488601,"Tube Assembly,Capillary",1.0
AJR74289301,완제품,"Tube Assembly,Suction(Outdoor)",AJR74488601,"Tube Assembly,Capillary",1.0
AJR74366603,완제품,Tube Assembly,AJR36388606,"Tube Assembly, Expansion",1.0
AJR74366605,완제품,Tube Assembly,AJR36388606,"Tube Assembly, Expansion",1.0
AJR74424612-1-1,서브ASSY,중앙 SUB,MJU63651004,Tube Connector,1.0
AJR74424612-1-1,서브ASSY,중앙 SUB,MJU63651005,Tube Connector,1.0
AJR74424615-7-1,서브ASSY,SUB ASSY,5210A21458T,Accumulator,1.0
AJR74424616,완제품,Muffler Assembly,MJU63651004,Tube Connector,1.0
AJR74424616,완제품,Muffler Assembly,MJU63651005,Tube Connector,1.0
AJR74424620,서브ASSY,"Tube Assembly,Reverse",AJR71429343,"Tube Assembly,Suction",1.0
AJR74424620-1-1,서브ASSY,중앙 SUB,MJU63651005,Tube Connector,1.0
AJR74424621-1-1,서브ASSY,중앙 SUB,MJU63651004,Tube Connector,1.0
AJR74424621-1-1,서브ASSY,중앙 SUB,MJU63651005,Tube Connector,1.0
AJR74424632,서브ASSY,"Tube Assembly, Reserve",AJR71429343,"Tube Assembly,Suction",1.0
AJR74462302,완제품,"Tube Assembly,Expansion",AJR74482401,"Tube Assembly, Connector",1.0
AJR74462303,완제품,"Tube Assembly,Expansion",AJR74482401,"Tube Assembly, Connector",1.0
AJR74482401-1,서브ASSY,"Tube Assembly, Connector",AJR74482401,"Tube Assembly, Connector",1.0
AJR74482401-7-1,서브ASSY,스파이럴 서브 용접,AJR74482401,"Tube Assembly, Connector",1.0
AJR74662703-7-1,서브ASSY,AJR74662703 MTS SUB,AJR74662704,"Tube Assembly,Suction",1.0
AJR74662703-7-2,서브ASSY,AJR74662703 MTS SUB,AJR74662704,"Tube Assembly,Suction",1.0
AJR74964701,완제품,"Tube Assembly,Expansion",AJR74482401,"Tube Assembly, Connector",1.0
AJR74983801,완제품,"Tube Assembly,Discharge(Outdoor)",MHH62041501,"Separator,Oil",1.0
AJR74983802,완제품,"Tube Assembly,Discharge(Outdoor)",MHH62041501,"Separator,Oil",1.0
AJR74985201,완제품,"Tube Assembly, Expansion",AJR74482401,"Tube Assembly, Connector",1.0
AJR74985202,완제품,"Tube Assembly, Expansion",AJR74482401,"Tube Assembly, Connector",1.0
AJR75044205-S2-1,서브ASSY,사내 SUB,AFY73769504,Muffler Assembly,1.0
AJR75103104,완제품,"Tube Assembly,Reverse",AJR75103203,"Tube Assembly,Reverse",1.0
AJR75142601,완제품,"Tube Assembly,Manifold(Indoor)",AJR75142603,"Tube Assembly,Manifold(Indoor)",1.0
AJR75142604,완제품,"Tube Assembly,Manifold(Indoor)",AJR75142603,"Tube Assembly,Manifold(Indoor)",1.0
AJR75163201,완제품,"Tube Assembly,Manifold(Indoor)",AJR75163203,"Tube Assembly,Manifold(Indoor)",1.0
AJR75163204,완제품,"Tube Assembly,Manifold(Indoor)",AJR75163203,"Tube Assembly,Manifold(Indoor)",1.0
AJR75244301,완제품,"Tube Assembly,Suction(Outdoor)",4848A20005L,Accumulator,1.0
AJR75358420-R-1,서브ASSY,사내 SUB,AJJ73898630,체결 SUB,1.0
AJR75462802,완제품,"Tube Assembly,Suction",MHH62041502,"Separator,Oil",1.0
AJR75462802-0-4,서브ASSY,사내 SUB,MHH62041502,"Separator,Oil",1.0
AJR75462802-S3-4,서브ASSY,사내 SUB,MHH62041502,"Separator,Oil",1.0
AJR75462803,완제품,"Tube Assembly,Suction",MHH62041502,"Separator,Oil",1.0
AJR75462803-0-4,서브ASSY,사내 SUB,MHH62041502,"Separator,Oil",1.0
AJR75462809-0-4,서브ASSY,사내 SUB,MHH62041502,"Separator,Oil",1.0
AJR75462809-S3-4,서브ASSY,사내 SUB,MHH62041502,"Separator,Oil",1.0
AJR75463101,완제품,"Tube Assembly,Expansion",MAZ64571803,Bracket,4.0
AJR75463101,완제품,"Tube Assembly,Expansion",MAZ64571804,Bracket,2.0
AJR75463108,완제품,"Tube Assembly,Expansion",MAZ64571803,Bracket,2.0
AJR75463108,완제품,"Tube Assembly,Expansion",MAZ64571804,Bracket,2.0
AJR75463110,완제품,"Tube Assembly,Expansion",MAZ64571803,Bracket,2.0
AJR75463110,완제품,"Tube Assembly,Expansion",MAZ64571804,Bracket,2.0
AJR75483401,완제품,"Tube Assembly,Expansion",MAZ64571803,Bracket,2.0
AJR75483401,완제품,"Tube Assembly,Expansion",MAZ64571804,Bracket,2.0
AJR75544203,완제품,"Tube Assembly,Expansion",AJR75709901,"Tube Assembly,Expansion",1.0
AJR75544223,완제품,"Tube Assembly,Expansion",AJR75709901,"Tube Assembly,Expansion",1.0
AJR75544605,서브ASSY,AJR75544605,5224A20002T,Strainer,1.0
AJR75584501,완제품,Tube Assembly,AJR75444201,Tube Assembly,1.0
AJR75584502,완제품,Tube Assembly,AJR75584501,Tube Assembly,1.0
AJR75604801,완제품,Tube Assembly,AJR36388606,"Tube Assembly, Expansion",1.0
AJR75604801,완제품,Tube Assembly,AJR75625401,"Tube Assembly,Reverse",1.0
AJR75604804,완제품,Tube Assembly,AJR36388606,"Tube Assembly, Expansion",1.0
AJR75604804,완제품,Tube Assembly,AJR75625401,"Tube Assembly,Reverse",1.0
AJR75662331,서브ASSY,"Tube Assembly, Discharge",AJR75662328,"Tube Assembly, Discharge",1.0
AJR75723702,서브ASSY,"Tube Assembly, Expansion",5224A20002T,Strainer,2.0
AJR75724101,완제품,"Tube Assembly,Expansion",MAZ64571803,Bracket,2.0
AJR75724101,완제품,"Tube Assembly,Expansion",MAZ64571804,Bracket,2.0
AJR75802606,완제품,Tube Assembly,AJR75786501,동T 형상 부품,1.0
AJR75802612,서브ASSY,Tube Assembly,AJR75786501,동T 형상 부품,1.0
AJR76462903,완제품,판형 수배관 SUB,AJR75786501,동T 형상 부품,1.0
AJR76523001,완제품,"Tube Assembly,Reverse",AJR71433340,"Tube Assembly,Expansion",1.0
AJR76523001,완제품,"Tube Assembly,Reverse",AJR74424612,"Tube Assembly,Reverse",1.0
AJR76523003,완제품,"Tube Assembly,Reverse",AJR74424615,SUB ASSY,1.0
AJR76523003-7-1,서브ASSY,SUB ASSY,5210A21458T,Accumulator,1.0
AJR76523005,완제품,"Tube Assembly,Reverse",AJR71433340,"Tube Assembly,Expansion",1.0
AJR76523005,완제품,"Tube Assembly,Reverse",AJR74424612,"Tube Assembly,Reverse",1.0
AJR76523007,완제품,"Tube Assembly,Reverse",AJR71433340,"Tube Assembly,Expansion",1.0
AJR76523007,완제품,"Tube Assembly,Reverse",AJR74424612,"Tube Assembly,Reverse",1.0
AJR76523009-7-2,서브ASSY,SUB ASSY,5210A21458T,Accumulator,1.0
AJR76523011,완제품,"Tube Assembly,Reverse",AJR71429343,"Tube Assembly,Suction",1.0
AJR76523012,완제품,"Tube Assembly,Reverse",AJR71433341,"Tube Assembly, Expansion",1.0
AJR76523027,완제품,"Tube Assembly,Reverse",AJJ73040839,Supporter Assembly,1.0
AJR76523027,완제품,"Tube Assembly,Reverse",AJR71433340,"Tube Assembly,Expansion",1.0
AJR76523027-20-1,서브ASSY,썬텍 SUB,MJU63651005,Tube Connector,1.0
AJR76545301-7-1,서브ASSY,MTS SUB,4848A20005L,Accumulator,1.0
AJR76545301-R1-1,서브ASSY,사내 SUB,4848A20005L,Accumulator,1.0
AJR76545302,서브ASSY,"Tube Assembly,Reverse",4848A20005L,Accumulator,1.0
AJR76562401,완제품,"Tube Assembly,Reverse",AJJ74199009,Supporter Assembly,1.0
AJR76562401,완제품,"Tube Assembly,Reverse",AJR71429339,"Tube Assembly,Suction(Outdoor)",1.0
AJR76562401,완제품,"Tube Assembly,Reverse",AJR76543201,"Tube Assembly,Reverse",1.0
AJR76562403,완제품,"Tube Assembly,Reverse",AJJ74199009,Supporter Assembly,1.0
AJR76562403,완제품,"Tube Assembly,Reverse",AJR71429339,"Tube Assembly,Suction(Outdoor)",1.0
AJR76562403,완제품,"Tube Assembly,Reverse",AJR76543201,"Tube Assembly,Reverse",1.0
AJR76562404,완제품,"Tube Assembly,Reverse",AJJ74199009,Supporter Assembly,1.0
AJR76562404,완제품,"Tube Assembly,Reverse",AJR71429339,"Tube Assembly,Suction(Outdoor)",1.0
AJR76562404,완제품,"Tube Assembly,Reverse",AJR76543201,"Tube Assembly,Reverse",1.0
AJR76582505,완제품,"Tube Assembly,Expansion",MAZ64571803,Bracket,1.0
AJR76582506,완제품,"Tube Assembly,Expansion",MAZ64571803,Bracket,1.0
AJR77203702,서브ASSY,Tube Assembly,AJR65507711,"Tube Assembly,Suction(Outdoor)",1.0
AJR77203703,서브ASSY,Tube Assembly,AJR65507713,"Tube Assembly,Suction(Outdoor)",1.0
AJR77222902,완제품,Tube Assembly,AJR77223102,"Tube Assembly,Discharge",1.0
AJR77222902,완제품,Tube Assembly,MAA63804601,Accumulator,1.0
AJR77222902-S2-4,서브ASSY,사내 SUB,AJR77223102,"Tube Assembly,Discharge",1.0
AJR77222905,완제품,Tube Assembly,MAA63804601,Accumulator,1.0
AJR77223002,서브ASSY,"Tube Assembly,Reverse",AJR77223102,"Tube Assembly,Discharge",1.0
AJR77223201,서브ASSY,"Tube Assembly,Suction",MAA63804601,Accumulator,1.0
AJR77223202,서브ASSY,"Tube Assembly,Suction",MAA63804601,Accumulator,1.0
AJR77223204,서브ASSY,"Tube Assembly,Suction",MAA63804601,Accumulator,1.0
AJR77224501,완제품,"Tube Assembly, Expansion",MAZ64571803,Bracket,2.0
AJR77224502,완제품,"Tube Assembly,Expansion",MAZ64571803,Bracket,2.0
AJR77224503,완제품,"Tube Assembly, Expansion",MAZ64571803,Bracket,2.0
AJR77224504,완제품,"Tube Assembly,Expansion",MAZ64571803,Bracket,2.0
AJR77224505,완제품,"Tube Assembly,Expansion",MAZ64571803,Bracket,2.0
AJR77224506,완제품,"Tube Assembly,Expansion",AJR75709904,"Tube Assembly, Expansion",1.0
AJR77224506,완제품,"Tube Assembly,Expansion",MAZ64571803,Bracket,2.0
AJR77224507,완제품,"Tube Assembly, Expansion",AJR30051301,"Tube Assembly,Expansion",1.0
