업체시트,Assy,원소재,사급부품,용접봉,가공비,동소요kg,판가,기존가확정,참조,부품수,flags
중앙정밀 (2),5211A20356L,778,2707,0,716,0.0639,4200,0,,5,
중앙정밀 (2),5211A20356M,1166,3705,0,972,0.0958,5842,0,,5,
중앙정밀 (2),5211A20356N,1166,4359,0,972,0.0958,6496,0,,5,
중앙정밀 (2),5211A20356P,1166,3897,0,972,0.0958,6034,0,,5,
중앙정밀 (2),5211A20356Q,616,2176,0,776,0.0506,3567,0,,5,
중앙정밀 (2),5211A20356R,1166,4119,0,972,0.0958,6256,0,,5,
중앙정밀 (2),5211A20356T,778,2531,0,716,0.0639,4024,0,,5,
중앙정밀 (2),5211A20356U,1166,3747,0,972,0.0958,5884,0,,5,
중앙정밀 (2),5211A20766Y,503,0,0,116,0.0413,618,0,,2,
중앙정밀 (2),5211A21084B,1169,0,0,161,0.096,1330,0,,1,
중앙정밀 (2),5211A21202L,1468,0,0,750,0.1192,2214,0,,8,
중앙정밀 (2),5211A21202R,1468,486,0,1122,0.1192,3072,0,,10,
중앙정밀 (2),5211A21714A,3510,0,0,532,0.2859,4040,0,,7,
중앙정밀 (2),5211A21789C,563,0,0,154,0.0453,717,0,,2,
중앙정밀 (2),5211A21812B,312,0,101,780,0.0393,1191,0,,7,
중앙정밀 (2),5211A22009Q,222,0,0,116,0.0291,337,0,,2,
중앙정밀 (2),5211A23308A,2717,0,0,373,0.2204,3088,0,,4,
중앙정밀 (2),5211A23318A,779,550,0,453,0.0637,1779,0,,6,
중앙정밀 (2),5211A24118B,149,0,0,134,0.0195,282,0,,2,
중앙정밀 (2),5211A24129B,479,0,0,148,0.0393,626,0,,2,
중앙정밀 (2),5211A24129F,1000,710,0,697,0.0818,2404,0,,6,
중앙정밀 (2),5211A24129J,949,430,0,663,0.0776,2039,0,,8,
중앙정밀 (2),5211A24129K,949,390,0,663,0.0776,1999,0,,6,
중앙정밀 (2),5211A30050D,91,0,0,68,0.012,158,0,,1,
중앙정밀 (2),5211A30123U,862,6346,0,1004,0.0708,8211,0,,5,
중앙정밀 (2),5211A30232X,468,0,0,163,0.038,630,0,,3,
중앙정밀 (2),5211A30297L,544,0,0,115,0.0447,659,0,,1,
중앙정밀 (2),5211A30708S,357,0,0,251,0.0465,605,0,,4,
중앙정밀 (2),5211A30708Z,1046,0,0,302,0.0849,1346,0,,5,
중앙정밀 (2),5211AP3989L,495,0,0,93,0.0407,586,0,,2,
중앙정밀 (2),AJJ72332408,709,0,0,166,0.0584,873,0,,3,
중앙정밀 (2),AJJ72332409,338,0,0,125,0.0268,462,0,,2,
중앙정밀 (2),AJJ73118503,1823,0,0,575,0.1459,2395,0,,7,
중앙정밀 (2),AJJ73178301,2154,0,0,430,0.1767,2579,0,,7,
중앙정밀 (2),AJJ74498305,589,0,0,208,0.0777,795,0,,4,
중앙정밀 (2),AJJ74578314,471,1253,35,395,0.0622,2152,0,,7,
중앙정밀 (2),AJJ74578316,1226,694,24,848,0.1618,2787,0,,12,
중앙정밀 (2),AJJ74578324,445,252,18,295,0.0588,1008,0,,4,
중앙정밀 (2),AJJ74578325,591,0,0,194,0.0782,784,0,,2,
중앙정밀 (2),AJJ74578327,1076,713,18,509,0.1406,2313,0,,8,
중앙정밀 (2),AJJ74618301,630,624,58,520,0.083,1829,0,,5,
중앙정밀 (2),AJJ74618302,928,1248,115,1001,0.1223,3288,0,,10,
중앙정밀 (2),AJJ75318301,314,65,11,221,0.0415,611,0,,3,
중앙정밀 (2),AJJ75358401,2944,7910,147,1479,0.389,12476,0,,16,
중앙정밀 (2),AJJ75918509,378,538,21,477,0.0492,1412,0,,5,
중앙정밀 (2),AJJ76238401,1114,0,0,576,0.1443,1686,0,,7,
중앙정밀 (2),AJJ76318301,497,0,0,165,0.0658,661,0,,2,
중앙정밀 (2),AJR30007104,1974,0,0,454,0.2606,2426,0,,3,
중앙정밀 (2),AJR30008101,5930,1170,54,1854,0.7517,8998,0,,18,
중앙정밀 (2),AJR30012008,486,55,18,249,0.0641,808,0,,3,
중앙정밀 (2),AJR30012009,325,0,0,103,0.0429,427,0,,1,
중앙정밀 (2),AJR30025101,2467,0,0,381,0.3257,2847,0,,3,
중앙정밀 (2),AJR30027701,485,0,0,98,0.064,582,0,,1,
중앙정밀 (2),AJR30038101,677,0,0,287,0.0894,961,0,,3,
중앙정밀 (2),AJR30089604,1786,1215,49,1080,0.2025,4128,0,,13,
중앙정밀 (2),AJR30089620,0,810,65,326,0.0,1200,0,,4,
중앙정밀 (2),AJR30089621,1148,1215,49,653,0.0894,3064,0,,9,
중앙정밀 (2),AJR30228804,755,0,0,425,0.0619,1177,0,,6,
중앙정밀 (2),AJR30228805,2360,0,0,302,0.1979,2660,0,,4,
중앙정밀 (2),AJR30359801,201,0,0,121,0.0262,321,0,,1,
중앙정밀 (2),AJR30374209,3911,0,0,2581,0.317,6480,0,,25,
중앙정밀 (2),AJR32563602,786,0,0,406,0.1024,1189,0,,5,
중앙정밀 (2),AJR34565827,820,1783,27,780,0.1033,3409,0,,12,
중앙정밀 (2),AJR34739818,267,1076,27,593,0.0349,1961,0,,8,
중앙정밀 (2),AJR36013006,349,0,0,106,0.0455,454,0,,1,
중앙정밀 (2),AJR36366801,1829,0,0,204,0.1503,2032,0,,2,
중앙정밀 (2),AJR36388617,491,0,0,144,0.0649,634,0,,2,
중앙정밀 (2),AJR36478201,2066,0,0,1495,0.1684,3130,0,,9,
중앙정밀 (2),AJR36478203,3631,507,64,3069,0.3455,6232,0,,17,
중앙정밀 (2),AJR36479521,154,538,7,175,0.0201,872,0,,3,
중앙정밀 (2),AJR36618618,525,0,0,257,0.0683,780,0,,4,
중앙정밀 (2),AJR36618620,736,0,0,214,0.0969,949,0,,2,
중앙정밀 (2),AJR36618623,639,0,41,492,0.0841,1169,0,,4,
중앙정밀 (2),AJR36852201,774,0,0,63,0.0629,836,0,,3,
중앙정밀 (2),AJR55908801,2551,0,0,373,0.2097,2922,0,,3,
중앙정밀 (2),AJR62820102,568,0,0,359,0.074,924,0,,4,
중앙정밀 (2),AJR65521324,1051,1338,60,472,0.1388,2919,0,,5,
중앙정밀 (2),AJR69405502,529,1444,28,698,0.0689,2694,0,,10,
중앙정밀 (2),AJR69405508,572,0,7,398,0.0745,975,0,,4,
중앙정밀 (2),AJR72586225,1935,100,23,603,0.2556,2660,0,,5,
중앙정밀 (2),AJR72926201,1010,0,0,259,0.082,1268,0,,4,
중앙정밀 (2),AJR72945005,814,0,20,317,0.1057,1150,0,,3,
중앙정밀 (2),AJR73005509,279,0,0,140,0.0364,418,0,,3,
중앙정밀 (2),AJR73040829,255,0,0,92,0.0337,346,0,,1,
중앙정밀 (2),AJR73042301,196,1076,14,386,0.0256,1670,0,,6,
중앙정밀 (2),AJR73063201,110,0,0,79,0.009,188,0,,2,
중앙정밀 (2),AJR73063202,97,0,0,80,0.0126,176,0,,2,
중앙정밀 (2),AJR73069601,1048,0,0,342,0.0857,1386,0,,6,
중앙정밀 (2),AJR73069602,439,0,0,231,0.0427,667,0,,4,
중앙정밀 (2),AJR73165501,3251,0,0,463,0.267,3711,0,,5,
중앙정밀 (2),AJR73182701,208,0,0,197,0.0271,403,0,,2,
중앙정밀 (2),AJR73323802,699,0,0,199,0.0923,897,0,,2,
중앙정밀 (2),AJR73682805,740,0,0,195,0.0964,934,0,,1,
중앙정밀 (2),AJR73767314,154,0,0,88,0.0201,242,0,,1,
중앙정밀 (2),AJR73768805,229,0,0,102,0.0299,331,0,,1,
중앙정밀 (2),AJR73802705,351,176,34,339,0.0458,899,0,,5,
중앙정밀 (2),AJR73898602,129,0,0,69,0.0169,198,0,,1,
중앙정밀 (2),AJR73946113,66,0,0,53,0.0086,118,0,,1,
중앙정밀 (2),AJR73964609,481,0,0,146,0.0395,627,0,,2,
중앙정밀 (2),AJR73964904,994,0,0,311,0.1295,1304,0,,2,
중앙정밀 (2),AJR73967513,187,0,0,106,0.0244,292,0,,1,
중앙정밀 (2),AJR74007502,3387,0,0,721,0.4478,4105,0,,5,
중앙정밀 (2),AJR74107914,1518,150,24,443,0.1983,2133,0,,6,
중앙정밀 (2),AJR74204001,155,0,0,113,0.0202,267,0,,3,
중앙정밀 (2),AJR74242480,973,0,0,108,0.1279,1080,0,,2,
중앙정밀 (2),AJR74268901,366,0,0,108,0.0483,473,0,,1,
중앙정밀 (2),AJR74364911,761,0,0,281,0.1004,1039,0,,5,
중앙정밀 (2),AJR74364920,1281,1215,97,1115,0.1421,3705,0,,13,
중앙정밀 (2),AJR74364925,672,0,0,344,0.0881,1014,0,,4,
중앙정밀 (2),AJR74423402,43,0,0,47,0.0056,89,0,,1,
중앙정밀 (2),AJR74423403,114,0,0,85,0.0149,199,0,,1,
중앙정밀 (2),AJR74803541,299,1076,40,666,0.039,2079,0,,6,
중앙정밀 (2),AJR74843602,140,0,0,88,0.0182,226,0,,3,
중앙정밀 (2),AJR74943201,461,2035,42,576,0.0609,3113,0,,8,
중앙정밀 (2),AJR74943202,0,1961,27,306,0.0,2294,0,,5,
중앙정밀 (2),AJR74963101,377,1552,110,576,0.0498,2613,0,,6,
중앙정밀 (2),AJR74963102,0,2946,125,617,0.0,3686,0,,10,
중앙정밀 (2),AJR74964810,1421,0,0,212,0.1875,1632,0,,2,
중앙정밀 (2),AJR74983905,85,0,0,57,0.011,141,0,,1,
중앙정밀 (2),AJR74984303,510,0,0,212,0.0674,721,0,,3,
중앙정밀 (2),AJR74984303-1-1,120,6685,193,1628,0.3863,8506,0,,13,
중앙정밀 (2),AJR74984303-1-2,59,2702,139,1112,0.1981,3952,0,,10,
중앙정밀 (2),AJR74984304,476,0,0,129,0.0628,605,0,,1,
중앙정밀 (2),AJR74984305-1-1,120,8376,193,1628,0.3863,10197,0,,13,
중앙정밀 (2),AJR74984305-1-2,59,3036,139,1112,0.1981,4286,0,,10,
중앙정밀 (2),AJR74985503,820,700,79,669,0.1069,2266,0,,7,
중앙정밀 (2),AJR74985504,414,0,0,215,0.054,628,0,,3,
중앙정밀 (2),AJR75463101,3491,716,37,893,0.4616,5130,0,,14,
중앙정밀 (2),AJR75463101-1-1,13,1116,29,183,0.0476,1327,0,,4,
중앙정밀 (2),AJR75463108,738,0,0,168,0.0977,906,0,,1,
중앙정밀 (2),AJR75463110,440,0,0,110,0.0582,549,0,,1,
중앙정밀 (2),AJR75463512,148,0,0,109,0.0193,256,0,,2,
중앙정밀 (2),AJR75483401,3150,1832,85,1032,0.4165,6091,0,,15,
중앙정밀 (2),AJR75483701,2679,120,37,813,0.3537,3642,0,,14,
중앙정밀 (2),AJR75504001,1292,85,18,327,0.1705,1721,0,,4,
중앙정밀 (2),AJR75544223,190,0,0,53,0.0252,243,0,,1,
중앙정밀 (2),AJR75563501,103,0,0,69,0.0134,171,0,,2,
중앙정밀 (2),AJR75584501,104,0,0,55,0.0134,158,0,,2,
중앙정밀 (2),AJR75604703,3763,2483,58,1041,0.4975,7341,0,,11,
중앙정밀 (2),AJR75624401,122,0,0,91,0.0154,213,0,,3,
중앙정밀 (2),AJR75624402,582,0,0,205,0.0762,785,0,,4,
중앙정밀 (2),AJR75645604,315,261,54,417,0.0411,1044,0,,5,
중앙정밀 (2),AJR75645605,429,261,54,453,0.0559,1193,0,,5,
중앙정밀 (2),AJR75645606,397,346,54,490,0.0517,1284,0,,7,
중앙정밀 (2),AJR75702302,481,261,54,454,0.0627,1247,0,,5,
중앙정밀 (2),AJR75711401,849,766,64,1025,0.1106,2700,0,,8,
중앙정밀 (2),AJR75711504,1234,1543,35,564,0.1629,3374,0,,6,
중앙정밀 (2),AJR75712102,177,0,0,57,0.0231,233,0,,1,
중앙정밀 (2),AJR75743204,723,1126,57,644,0.0942,2547,0,,7,
중앙정밀 (2),AJR75743207,687,749,27,569,0.0895,2029,0,,10,
중앙정밀 (2),AJR75743209,3746,1644,197,1683,0.4948,7264,0,,11,
중앙정밀 (2),AJR75743302,1510,1746,48,1243,0.1974,4540,0,,14,
중앙정밀 (2),AJR75744515,1957,0,0,175,0.2588,2131,0,,1,
중앙정밀 (2),AJR75747504,785,0,0,470,0.0989,1252,0,,5,
중앙정밀 (2),AJR75763103,1075,55,30,412,0.1395,1569,0,,4,
중앙정밀 (2),AJR75802501,465,1076,27,553,0.0606,2118,0,,8,
중앙정밀 (2),AJR75918402,355,0,7,296,0.0463,656,0,,4,
중앙정밀 (2),AJR75962501,1238,0,0,371,0.1623,1607,0,,4,
중앙정밀 (2),AJR76322601,964,0,0,347,0.1273,1309,0,,5,
중앙정밀 (2),AJR76322701,431,685,60,406,0.0568,1579,0,,5,
중앙정밀 (2),AJR76363001,90,0,0,67,0.0118,157,0,,1,
중앙정밀 (2),AJR76363002,1485,0,0,210,0.1963,1695,0,,2,
중앙정밀 (2),AJR76363201,1810,1253,35,606,0.2389,3700,0,,8,
