node,name,cs_soyo,bom_soyo,ratio,direction,weld_item,last_prod,active,top_parent,cs_detail,cs_upd,bom_upd,newer
AJR74942754,"Tube Assembly,Evaporator(Out)",0.0113,0.0098,1.153,CS>BOM,RAC30599327,없음,0,AJR74942581,4.76φ×3·6.35φ×2·9.52φ×1·12.7φ×1·12.7φ×2,2025-09-10,2026-06-30,BOM최신
AJR74962904-16-1,케이비 sub,0.0156,0.0,,CS>BOM,RAC30599301-1,없음,0,AJR74962904-은납,6.35φ×13,2026-07-23,2026-07-10,CS최신
AJR75103205,"Tube Assembly,Reverse",0.0084,0.0,,CS>BOM,RAC30599301-1,없음,0,AJR75103117,9.52φ×7,2026-07-09,2025-08-30,CS최신
AJR75142604,"Tube Assembly,Manifold(Indoor)",0.0117,0.0127,0.921,CS<BOM,RAC30599301-1,없음,0,,7.94φ×4·12.7φ×2,2019-11-23,2023-08-17,BOM최신
AJR75183101,AJR75183101,0.0045,0.006,0.75,CS<BOM,RAC30599301-1,없음,0,AJR75182901,6.35φ×4,2022-03-27,2023-08-17,BOM최신
AJR75242802-J&I,태국 SUB,0.0043,0.0055,0.782,CS<BOM,RAC30599301-1,없음,0,,4.76φ×3·6.35φ×1,2021-07-21,2023-11-10,BOM최신
AJR75242803,AJR75242803,0.0045,0.0056,0.804,CS<BOM,RAC30599301-1,없음,0,AJR75523401,6.35φ×4,2022-03-27,2023-08-17,BOM최신
AJR75243005,사내 저압 SUB,0.0043,0.0055,0.782,CS<BOM,RAC30599301-1,없음,0,AJR75243102,4.76φ×3·9.52φ×1,2022-03-27,2023-08-17,BOM최신
AJR75243007,"Tube Assembly, Evaporator(Out)",0.0012,0.0024,0.5,CS<BOM,RAC30599301-1,없음,0,AJR75243106,9.52φ×1,2021-09-27,2023-08-17,BOM최신
AJR75243019,저압 SUB,0.0012,0.0024,0.5,CS<BOM,RAC30599301-1,없음,0,AJR75243123,9.52φ×1,2022-11-24,2023-10-17,BOM최신
AJR75563003,Tube Assembly,0.0015,0.0179,0.084,CS<BOM,RAC30599301-1,없음,0,,4.76φ×1,2019-11-25,2023-08-17,BOM최신
AJR75563402-J&I,태국 SUB,0.0048,0.0063,0.762,CS<BOM,RAC30599301-1,없음,0,,6.35φ×3·9.52φ×1,2023-08-31,2023-11-10,BOM최신
AJR75563501-S6-3,사내 SUB,0.0012,0.0024,0.5,CS<BOM,RAC30599301-1,없음,0,AJR75563501-S6-4,6.35φ×1,2019-04-29,2023-08-17,BOM최신
AJR75702302,"Tube Assembly,Condenser(In)",0.0036,0.0022,1.636,CS>BOM,RAC30599301-1,없음,0,,6.35φ×3,2023-11-10,2023-11-10,BOM최신
AJR75747604,고압부 SUB ASSY,0.0033,0.0045,0.733,CS<BOM,RAC30599301-1,없음,0,AJR75747504,5.0φ×2·6.35φ×1,2019-04-29,2024-05-28,BOM최신
AJR75747704,저압부 SUB ASSY,0.0036,0.0048,0.75,CS<BOM,RAC30599301-1,없음,0,AJR75747504,6.35φ×2·9.52φ×1,2019-04-29,2024-05-28,BOM최신
AJR75802609,Tube Assembly,0.0024,0.0165,0.145,CS<BOM,RAC30599301-1,없음,0,,6.35φ×1·9.52φ×1,2022-10-21,2023-08-17,BOM최신
AJR76363201-S3-1,사내 SUB,0.0024,0.0042,0.571,CS<BOM,RAC30599301-1,없음,0,,9.52φ×2,2019-05-14,2020-12-28,BOM최신
AJR76442511,"Tube Assembly,Suction(Outdoor)",0.0012,0.0,,CS>BOM,RAC30599301-1,없음,0,AJJ75838622,9.52φ×1,2024-05-02,2026-06-30,BOM최신
AJR76462605,ADM74930502 SUB,0.0048,0.006,0.8,CS<BOM,RAC30599301-1,없음,0,ADM74930502,6.35φ×1·9.52φ×3,2025-07-21,2025-12-24,BOM최신
AJR76462614,Tube Assembly,0.0036,0.0048,0.75,CS<BOM,RAC30599301-1,없음,0,ADM74930503,6.35φ×1·9.52φ×2,2022-03-28,2023-08-17,BOM최신
AJR76462619,Tube Assembly,0.0024,0.0036,0.667,CS<BOM,RAC30599301-1,없음,0,ADM74930506,6.35φ×1·9.52φ×1,2022-07-02,2024-07-29,BOM최신
AJR76462624,판형 SUB,0.0024,0.0036,0.667,CS<BOM,RAC30599301-1,없음,0,ADM73210511,6.35φ×1·9.52φ×1,2022-11-23,2023-08-17,BOM최신
AJR76462625,판형 SUB,0.0024,0.0036,0.667,CS<BOM,RAC30599301-1,없음,0,ADM74930507,9.52φ×2,2022-10-20,2023-08-17,BOM최신
AJR76462629,Tube Assembly,0.0024,0.0048,0.5,CS<BOM,RAC30599301-1,없음,0,,6.35φ×1·9.52φ×1,2022-04-12,2023-08-17,BOM최신
AJR76462630,판형 SUB,0.0024,0.0036,0.667,CS<BOM,RAC30599301-1,없음,0,,6.35φ×1·9.52φ×1,2022-04-12,2023-08-17,BOM최신
AJR76462632,Tube Assembly,0.0024,0.0036,0.667,CS<BOM,RAC30599301-1,없음,0,,6.35φ×1·9.52φ×1,2022-06-30,2023-08-17,BOM최신
AJR76462709,ADM74930502 SUB,0.0279,0.03,0.93,CS<BOM,RAC30599327,없음,0,ADM74930502,9.52φ×1·9.52φ×1·25.4φ×2·28.0φ×1·28.0φ×1,2025-07-22,2025-12-24,BOM최신
AJR76462710,ADM73210506 SUB,0.0083,0.0211,0.393,CS<BOM,RAC30599301-1,없음,0,ADM73210506,6.35φ×1·28.0φ×1,2022-06-17,2024-01-28,BOM최신
AJR76462711,ADM73210506 SUB,0.0012,0.01,0.12,CS<BOM,RAC30599301-1,없음,0,ADM73210506,6.35φ×1,2022-06-18,2024-03-05,BOM최신
AJR76462717,Tube Assembly,0.0012,0.012,0.1,CS<BOM,RAC30599301-1,없음,0,ADM74930503,6.35φ×1,2022-07-02,2025-02-11,BOM최신
AJR76462718,Tube Assembly,0.0012,0.015,0.08,CS<BOM,RAC30599301-1,없음,0,ADM74930503,6.35φ×1,2022-07-02,2025-02-11,BOM최신
AJR76462719,Tube Assembly,0.0083,0.0211,0.393,CS<BOM,RAC30599301-1,없음,0,ADM73210508,6.35φ×1·28.0φ×1,2022-06-18,2023-08-17,BOM최신
AJR76462720,Tube Assembly,0.0012,0.01,0.12,CS<BOM,RAC30599301-1,없음,0,ADM73210508,6.35φ×1,2022-06-18,2023-08-17,BOM최신
AJR76462727,Tube Assembly,0.0012,0.0127,0.094,CS<BOM,RAC30599301-1,없음,0,,6.35φ×1,2022-03-11,2023-08-17,BOM최신
AJR76462729,Tube Assembly,0.0012,0.0115,0.104,CS<BOM,RAC30599301-1,없음,0,,6.35φ×1,2022-04-04,2023-08-17,BOM최신
AJR76462731-7-1,MTS 판형 SUB,0.0012,0.0083,0.145,CS<BOM,RAC30599301-1,없음,0,AJR76462731,6.35φ×1,2022-05-01,2023-08-17,BOM최신
AJR76462732,판형 SUB 부품,0.0083,0.0221,0.376,CS<BOM,RAC30599301-1,없음,0,,6.35φ×1·28.0φ×1,2022-03-31,2023-08-17,BOM최신
AJR76462733,판형 SUB 부품,0.0083,0.0221,0.376,CS<BOM,RAC30599301-1,없음,0,,6.35φ×1·28.0φ×1,2022-03-31,2023-08-17,BOM최신
AJR76462734-7-1,MTS SUB,0.0012,0.0083,0.145,CS<BOM,RAC30599301-1,없음,0,AJR76462734,6.35φ×1,2022-04-28,2023-08-17,BOM최신
AJR76462736,판형 SUB,0.0012,0.0061,0.197,CS<BOM,RAC30599301-1,없음,0,ADM73210515,6.35φ×1,2022-11-23,2025-07-29,BOM최신
AJR76823101-J5,지그5,0.0012,0.0024,0.5,CS<BOM,RAC30599301-1,없음,0,,6.35φ×1,2021-06-24,2023-08-17,BOM최신
