parent_item,weld_item,item_name,use_qty,routing_st,reason,best_candidate
AJR73909902,RAC30599301-1,AJR73909902,0.0083,8.0,c_수기override(exact쌍 값불일치),"AJR73909902/RAC30599301-1 unit=0.00135 diam=19.05 (rule=exact(self), exp=0.0162)"
AJR73944509,RAC30599301-1,"Tube Assembly,Reverse",0.0083,7.0,c_수기override(exact쌍 값불일치),"AJR73944509/RAC30599301-1 unit=0.001429 diam=19.05 (rule=exact(self), exp=0.015)"
AJR73944516,RAC30599301-1,"Tube Assembly,Reverse",0.0109,6.0,c_수기override(exact쌍 값불일치),"AJR73944516/RAC30599301-1 unit=0.001533 diam=19.05 (rule=exact(self), exp=0.0138)"
AJR73946113,RAC30599301-1,"Tube Assembly,Discharge",0.003,4.0,c_수기override(exact쌍 값불일치),"AJR73946113/RAC30599301-1 unit=0.0008 diam=6.35 (rule=exact(self), exp=0.0048)"
AJR73964609,RAC30599301-1,"Tube Assembly,Discharge(Outdoor)",0.01294,13.0,c_수기override(exact쌍 값불일치),"AJR73964609/RAC30599301-1 unit=0.001 diam=9.52 (rule=exact(self), exp=0.0195)"
AJR73964702,RAC30599301-1,AJR73964702,0.0035,5.0,c_수기override(exact쌍 값불일치),"AJR73964702/RAC30599301-1 unit=0.00076 diam=4.76 (rule=exact(self), exp=0.0057)"
AJR73964902,RAC30599301-1,"Tube Assembly,Discharge(Outdoor)",0.01015,10.0,c_수기override(exact쌍 값불일치),"AJR73964902/RAC30599301-1 unit=0.00102 diam=6.35 (rule=exact(self), exp=0.0153)"
AJR73964905,RAC30599301-1,"Tube Assembly,Discharge(Outdoor)",0.01015,9.0,c_수기override(exact쌍 값불일치),"AJR73964905/RAC30599301-1 unit=0.001089 diam=15.88 (rule=exact(self), exp=0.0147)"
AJR73964906,RAC30599301-1,"Tube Assembly,Discharge(Outdoor)",0.01015,9.0,c_수기override(exact쌍 값불일치),"AJR73964906/RAC30599301-1 unit=0.001067 diam=4.76 (rule=exact(self), exp=0.0144)"
AJR73965102,RAC30599301-1,"Tube Assembly,Suction(Outdoor)",0.00723,4.0,c_수기override(exact쌍 값불일치),"AJR73965102/RAC30599301-1 unit=0.002025 diam=6.35 (rule=exact(self), exp=0.01215)"
AJR73981102,RAC30599301-1,Tube Assembly,0.00522,2.0,c_수기override(exact쌍 값불일치),"AJR73981102/RAC30599301-1 unit=0.001 diam=6.35 (rule=exact(self), exp=0.003)"
AJR73981104,RAC30599301-1,Tube Assembly,0.00522,3.0,c_수기override(exact쌍 값불일치),"AJR73981104/RAC30599301-1 unit=0.0014 diam=6.35 (rule=exact(self), exp=0.0063)"
AJR73981107,RAC30599301-1,Tube Assembly,0.0051,3.0,c_수기override(exact쌍 값불일치),"AJR73981107/RAC30599301-1 unit=0.0014 diam=6.35 (rule=exact(self), exp=0.0063)"
AJR73981108,RAC30599301-1,Tube Assembly,0.00124,2.0,c_수기override(exact쌍 값불일치),"AJR73981108/RAC30599301-1 unit=0.0017 diam=15.88 (rule=exact(self), exp=0.0051)"
AJR73984501,RAC30599301-1,SUB ASSY,0.0108,8.0,c_수기override(exact쌍 값불일치),"AJR73984501/RAC30599301-1 unit=0.00085 diam=6.35 (rule=exact(self), exp=0.0102)"
AJR73988601,RAC30599301-1,"Tube Assembly, Condenser",0.0117,11.0,c_수기override(exact쌍 값불일치),"AJR73988601/RAC30599301-1 unit=0.000782 diam=6.35 (rule=exact(self), exp=0.0129)"
AJR74064004,RAC30599301-1,"Tube Assembly,Reverse",0.01476,15.0,c_수기override(exact쌍 값불일치),"AJR74064004/RAC30599301-1 unit=0.000933 diam=9.52 (rule=exact(self), exp=0.021)"
AJR74125301,RAC30599301-1,"Tube Assembly,Condenser(Out)",0.00549,2.0,c_수기override(exact쌍 값불일치),"AJR74125301/RAC30599301-1 unit=0.0008 diam=9.52 (rule=exact(self), exp=0.0024)"
AJR74162602,RAC30599301-1,Tube Assembly,0.0112,8.0,c_수기override(exact쌍 값불일치),"AJR74162602/RAC30599301-1 unit=0.00095 diam=9.52 (rule=exact(self), exp=0.0114)"
AJR74206901,RAC30599301-1,"Tube Assembly,Suction(Outdoor)",0.0036,4.0,c_수기override(exact쌍 값불일치),"AJR74206901/RAC30599301-1 unit=0.0008 diam=6.35 (rule=exact(self), exp=0.0048)"
AJR74243206,RAC30599301-1,"Tube Assembly,Condenser(In)",0.0171,16.0,c_수기override(exact쌍 값불일치),"AJR74243206/RAC30599301-1 unit=0.000775 diam=5.0 (rule=exact(self), exp=0.0186)"
AJR74263402,RAC30599301-1,"Tube Assembly, Connector",0.0048,5.0,c_수기override(exact쌍 값불일치),"AJR74263402/RAC30599301-1 unit=0.0008 diam=9.52 (rule=exact(self), exp=0.006)"
AJR74282902,RAC30599301-1,"Tube Assembly,Discharge(Outdoor)",0.01015,7.0,c_수기override(exact쌍 값불일치),"AJR74282902/RAC30599301-1 unit=0.000829 diam=6.35 (rule=exact(self), exp=0.0087)"
AJR74283401,RAC30599301-1,"Tube Assembly,Discharge(Outdoor)",0.00274,9.0,c_수기override(exact쌍 값불일치),"AJR74283401/RAC30599301-1 unit=0.000822 diam=6.35 (rule=exact(self), exp=0.0111)"
AJR74286002,RAC30599301-1,"Tube Assembly,Suction(Indoor)",0.00165,2.0,c_수기override(exact쌍 값불일치),"AJR74286002/RAC30599301-1 unit=0.00115 diam=6.35 (rule=exact(self), exp=0.00345)"
